time,gFx,gFy,gFz,TgF
16:08:31:225,0.9736,0.1038,0.1090,0.985
16:08:31:226,0.9964,0.1002,0.1227,1.009
16:08:31:227,0.9836,0.1109,0.1103,0.996
16:08:31:231,0.9641,0.1275,0.0946,0.977
16:08:31:240,0.9585,0.1378,0.0895,0.972
16:08:31:242,0.9604,0.1398,0.0917,0.975
16:08:31:246,0.9636,0.1376,0.0949,0.978
16:08:31:253,0.9658,0.1346,0.1068,0.981
16:08:31:256,0.9634,0.1346,0.1262,0.981
16:08:31:262,0.9597,0.1361,0.1406,0.979
16:08:31:267,0.9616,0.1363,0.1464,0.982
16:08:31:271,0.9668,0.1358,0.1513,0.988
16:08:31:277,0.9709,0.1351,0.1535,0.992
16:08:31:284,0.9756,0.1327,0.1462,0.995
16:08:31:286,0.9827,0.1280,0.1320,1.000
16:08:31:291,0.9905,0.1231,0.1205,1.005
16:08:31:296,0.9961,0.1192,0.1176,1.010
16:08:31:301,0.9981,0.1175,0.1193,1.012
16:08:31:306,0.9998,0.1178,0.1171,1.013
16:08:31:312,1.0059,0.1160,0.1147,1.019
16:08:31:324,1.0125,0.1114,0.1090,1.024
16:08:31:325,1.0169,0.1070,0.1034,1.028
16:08:31:326,1.0206,0.1050,0.1032,1.031
16:08:31:333,1.0198,0.1050,0.1046,1.031
16:08:31:336,1.0184,0.1053,0.1015,1.029
16:08:31:342,1.0166,0.1060,0.0951,1.027
16:08:31:346,1.0127,0.1060,0.0944,1.023
16:08:31:352,1.0071,0.1050,0.1022,1.018
16:08:31:356,1.0020,0.1028,0.1137,1.014
16:08:31:363,0.9964,0.1004,0.1227,1.009
16:08:31:367,0.9910,0.0962,0.1244,1.003
16:08:31:372,0.9861,0.0923,0.1237,0.998
16:08:31:376,0.9812,0.0879,0.1318,0.994
16:08:31:382,0.9775,0.0821,0.1442,0.992
16:08:31:386,0.9751,0.0760,0.1533,0.990
16:08:31:392,0.9717,0.0723,0.1582,0.987
16:08:31:397,0.9692,0.0679,0.1662,0.986
16:08:31:402,0.9714,0.0601,0.1790,0.990
16:08:31:406,0.9734,0.0522,0.1944,0.994
16:08:31:411,0.9646,0.0476,0.2137,0.989
16:08:31:423,0.9499,0.0471,0.2362,0.980
16:08:31:424,0.9443,0.0442,0.2535,0.979
16:08:31:427,0.9499,0.0378,0.2604,0.986
16:08:31:432,0.9629,0.0271,0.2630,0.999
16:08:31:437,0.9775,0.0117,0.2633,1.012
16:08:31:442,0.9917,-0.0015,0.2594,1.025
16:08:31:447,0.9951,-0.0040,0.2442,1.025
16:08:31:452,0.9876,0.0016,0.2239,1.013
16:08:31:457,0.9778,0.0097,0.2083,1.000
16:08:31:463,0.9744,0.0197,0.2019,0.995
16:08:31:469,0.9680,0.0273,0.2049,0.990
16:08:31:472,0.9480,0.0310,0.2056,0.970
16:08:31:477,0.9264,0.0356,0.2039,0.949
16:08:31:483,0.9264,0.0417,0.2100,0.951
16:08:31:487,0.9355,0.0386,0.2193,0.962
16:08:31:492,0.9421,0.0437,0.2347,0.972
16:08:31:496,0.9460,0.0449,0.2486,0.979
16:08:31:502,0.9338,0.0236,0.2408,0.965
16:08:31:508,0.9335,0.0192,0.2254,0.961
16:08:31:512,0.8949,0.0170,0.2249,0.923
16:08:31:523,0.8873,0.0241,0.2379,0.919
16:08:31:524,0.8944,0.0332,0.2384,0.926
16:08:31:527,0.8974,0.0290,0.2322,0.927
16:08:31:533,0.9015,0.0239,0.2298,0.931
16:08:31:537,0.9071,0.0236,0.2274,0.935
16:08:31:543,0.9110,0.0254,0.2254,0.939
16:08:31:550,0.9101,0.0305,0.2261,0.938
16:08:31:552,0.9074,0.0346,0.2247,0.935
16:08:31:557,0.8956,0.0368,0.2298,0.925
16:08:31:563,0.8771,0.0410,0.2428,0.911
16:08:31:568,0.8710,0.0461,0.2503,0.907
16:08:31:572,0.8719,0.0510,0.2442,0.907
16:08:31:577,0.8771,0.0535,0.2256,0.907
16:08:31:583,0.8844,0.0532,0.2164,0.912
16:08:31:587,0.8944,0.0513,0.2200,0.923
16:08:31:593,0.9054,0.0483,0.2283,0.935
16:08:31:598,0.9167,0.0469,0.2327,0.947
16:08:31:603,0.9289,0.0444,0.2300,0.958
16:08:31:608,0.9396,0.0390,0.2230,0.967
16:08:31:613,0.9426,0.0359,0.2181,0.968
16:08:31:623,0.9394,0.0324,0.2151,0.964
16:08:31:624,0.9389,0.0258,0.2056,0.962
16:08:31:627,0.9472,0.0180,0.1922,0.967
16:08:31:633,0.9570,0.0102,0.1807,0.974
16:08:31:638,0.9658,0.0016,0.1645,0.980
16:08:31:643,0.9753,-0.0079,0.1452,0.986
16:08:31:649,0.9849,-0.0150,0.1310,0.994
16:08:31:653,0.9861,-0.0155,0.1215,0.994
16:08:31:659,0.9775,-0.0115,0.1117,0.984
16:08:31:664,0.9663,-0.0069,0.1012,0.972
