time,gFx,gFy,gFz,TgF
15:57:15:567,0.9123,0.1341,-0.0291,0.923
15:57:15:571,0.9118,0.1317,-0.0557,0.923
15:57:15:577,0.9189,0.1258,-0.0750,0.930
15:57:15:586,0.9213,0.1178,-0.0850,0.933
15:57:15:590,0.9125,0.1109,-0.0909,0.924
15:57:15:591,0.8981,0.1024,-0.0990,0.909
15:57:15:596,0.8922,0.0916,-0.1002,0.902
15:57:15:601,0.8971,0.0806,-0.0860,0.905
15:57:15:607,0.9047,0.0745,-0.0638,0.910
15:57:15:612,0.9084,0.0757,-0.0405,0.912
15:57:15:616,0.9096,0.0774,-0.0146,0.913
15:57:15:621,0.9081,0.0777,0.0017,0.911
15:57:15:627,0.9247,0.0657,0.0191,0.927
15:57:15:631,0.9330,0.0569,0.0169,0.935
15:57:15:637,0.9213,0.0581,-0.0078,0.923
15:57:15:643,0.9181,0.0481,-0.0234,0.920
15:57:15:647,0.8988,0.0395,-0.0533,0.901
15:57:15:651,0.8609,0.0444,-0.0943,0.867
15:57:15:657,0.8458,0.0437,-0.1180,0.855
15:57:15:661,0.8624,0.0195,-0.1151,0.870
15:57:15:667,0.8526,0.0090,-0.1166,0.861
15:57:15:672,0.8257,0.0085,-0.1224,0.835
15:57:15:677,0.7952,0.0153,-0.1332,0.806
15:57:15:682,0.8094,-0.0103,-0.1039,0.816
15:57:15:689,0.7918,-0.0526,-0.0775,0.797
15:57:15:692,0.7646,-0.0543,-0.0635,0.769
15:57:15:698,0.7900,-0.0115,-0.0577,0.792
15:57:15:702,0.8067,0.0060,-0.0775,0.810
15:57:15:707,0.8211,0.0041,-0.0599,0.823
15:57:15:712,0.8199,-0.0027,-0.0335,0.821
15:57:15:717,0.8089,0.0031,-0.0286,0.809
15:57:15:721,0.8125,0.0212,-0.0349,0.814
15:57:15:728,0.8284,0.0334,-0.0398,0.830
15:57:15:733,0.8387,0.0200,-0.0645,0.841
15:57:15:738,0.8436,0.0024,-0.1139,0.851
15:57:15:742,0.8389,-0.0069,-0.1706,0.856
15:57:15:748,0.8318,-0.0147,-0.2236,0.862
15:57:15:752,0.8292,-0.0350,-0.2818,0.876
15:57:15:757,0.8221,-0.0624,-0.3361,0.890
15:57:15:766,0.8032,-0.0746,-0.3857,0.894
15:57:15:767,0.8639,-0.0467,-0.2178,0.892
15:57:15:778,0.9250,0.0711,0.2533,0.962
15:57:15:779,0.8595,0.1239,0.1208,0.877
15:57:15:782,0.7964,0.1151,-0.0344,0.805
15:57:15:788,0.8524,0.1104,0.1482,0.872
15:57:15:792,0.8812,0.0931,0.1447,0.898
15:57:15:797,0.8895,0.0786,0.0861,0.897
15:57:15:802,0.9000,0.0525,0.0357,0.902
15:57:15:807,0.8971,0.0117,-0.0161,0.897
15:57:15:813,0.8688,-0.0250,-0.0425,0.870
15:57:15:818,0.8321,-0.0563,-0.0765,0.837
15:57:15:823,0.8081,-0.0824,-0.1141,0.820
15:57:15:827,0.8001,-0.0900,-0.1579,0.820
15:57:15:832,0.8006,-0.0846,-0.1953,0.828
15:57:15:839,0.8076,-0.0736,-0.1989,0.835
15:57:15:843,0.8162,-0.0653,-0.1630,0.835
15:57:15:847,0.8169,-0.0558,-0.1131,0.827
15:57:15:852,0.8106,-0.0465,-0.0679,0.815
15:57:15:858,0.8008,-0.0455,-0.0276,0.803
15:57:15:862,0.7888,-0.0475,-0.0066,0.790
15:57:15:869,0.7773,-0.0436,-0.0200,0.779
15:57:15:874,0.7615,-0.0345,-0.0383,0.763
15:57:15:880,0.7563,-0.0250,-0.0430,0.758
15:57:15:882,0.7683,-0.0223,-0.0408,0.770
15:57:15:889,0.7898,-0.0323,-0.0474,0.792
15:57:15:893,0.7991,-0.0423,-0.0731,0.804
15:57:15:898,0.7827,-0.0563,-0.1041,0.792
15:57:15:902,0.7561,-0.0663,-0.1254,0.769
15:57:15:911,0.7468,-0.0678,-0.1305,0.761
15:57:15:912,0.7585,-0.0643,-0.1215,0.771
