time,gFx,gFy,gFz,TgF
15:46:05:104,1.0858,0.0263,-0.1051,1.091
15:46:05:105,1.0743,0.0170,-0.1039,1.079
15:46:05:105,1.0501,0.0136,-0.0975,1.055
15:46:05:111,1.0157,0.0183,-0.0963,1.020
15:46:05:115,0.9768,0.0285,-0.0963,0.982
15:46:05:119,0.9389,0.0356,-0.0819,0.943
15:46:05:124,0.9191,0.0383,-0.0501,0.921
15:46:05:130,0.9093,0.0386,0.0020,0.910
15:46:05:135,0.9113,0.0400,0.0609,0.914
15:46:05:139,0.9194,0.0454,0.1068,0.927
15:46:05:158,0.9242,0.0564,0.1249,0.934
15:46:05:159,0.9218,0.0740,0.1203,0.933
15:46:05:160,0.9120,0.0911,0.1132,0.924
15:46:05:161,0.9005,0.0931,0.1159,0.913
15:46:05:166,0.8949,0.0821,0.1174,0.906
15:46:05:170,0.8976,0.0738,0.0944,0.906
15:46:05:176,0.9047,0.0760,0.0433,0.909
15:46:05:180,0.9096,0.0850,-0.0107,0.914
15:46:05:185,0.9162,0.0860,-0.0440,0.921
15:46:05:190,0.9196,0.0813,-0.0418,0.924
15:46:05:195,0.9252,0.0725,-0.0053,0.928
15:46:05:200,0.9370,0.0640,0.0343,0.940
15:46:05:205,0.9477,0.0654,0.0484,0.951
15:46:05:210,0.9509,0.0676,0.0457,0.954
15:46:05:216,0.9389,0.0652,0.0413,0.942
15:46:05:220,0.9250,0.0579,0.0499,0.928
15:46:05:225,0.9191,0.0491,0.0663,0.923
15:46:05:230,0.9169,0.0442,0.0699,0.921
15:46:05:236,0.9152,0.0425,0.0545,0.918
15:46:05:241,0.9159,0.0398,0.0365,0.918
15:46:05:251,0.9291,0.0388,0.0330,0.931
15:46:05:252,0.9492,0.0444,0.0391,0.951
15:46:05:256,0.9511,0.0493,0.0421,0.953
15:46:05:261,0.9480,0.0496,0.0472,0.950
15:46:05:270,0.9448,0.0510,0.0519,0.948
15:46:05:271,0.9308,0.0554,0.0575,0.934
15:46:05:277,0.9142,0.0640,0.0682,0.919
15:46:05:280,0.9069,0.0662,0.0726,0.912
15:46:05:285,0.9145,0.0625,0.0621,0.919
15:46:05:290,0.9291,0.0579,0.0472,0.932
15:46:05:296,0.9404,0.0532,0.0325,0.942
15:46:05:300,0.9404,0.0557,0.0020,0.942
15:46:05:305,0.9436,0.0667,-0.0410,0.947
15:46:05:310,0.9502,0.0679,-0.0672,0.955
15:46:05:316,0.9670,0.0669,-0.0474,0.970
