time,gFx,gFy,gFz,TgF
17:15:21:291,0.9849,0.0024,0.0768,0.988
17:15:21:292,0.9927,0.0029,0.0880,0.997
17:15:21:293,0.9885,0.0117,0.0973,0.993
17:15:21:293,0.9724,0.0195,0.1083,0.979
17:15:21:300,0.9612,0.0212,0.1210,0.969
17:15:21:304,0.9636,0.0173,0.1274,0.972
17:15:21:309,0.9702,0.0136,0.1286,0.979
17:15:21:313,0.9731,0.0112,0.1254,0.981
17:15:21:319,0.9709,0.0122,0.1242,0.979
17:15:21:324,0.9646,0.0139,0.1303,0.973
17:15:21:332,0.9616,0.0146,0.1379,0.972
17:15:21:333,0.9629,0.0122,0.1384,0.973
17:15:21:339,0.9646,0.0095,0.1359,0.974
17:15:21:344,0.9616,0.0097,0.1347,0.971
17:15:21:352,0.9572,0.0104,0.1374,0.967
17:15:21:355,0.9543,0.0097,0.1428,0.965
17:15:21:359,0.9526,0.0097,0.1435,0.963
17:15:21:368,0.9555,0.0100,0.1389,0.966
17:15:21:369,0.9597,0.0073,0.1323,0.969
17:15:21:373,0.9607,0.0053,0.1259,0.969
17:15:21:378,0.9592,0.0051,0.1203,0.967
17:15:21:384,0.9563,0.0043,0.1200,0.964
17:15:21:389,0.9543,0.0058,0.1296,0.963
17:15:21:394,0.9648,0.0085,0.1416,0.975
17:15:21:398,0.9868,0.0051,0.1499,0.998
17:15:21:404,0.9986,0.0009,0.1567,1.011
17:15:21:411,0.9907,0.0036,0.1606,1.004
17:15:21:415,0.9778,0.0060,0.1574,0.990
17:15:21:419,0.9709,0.0046,0.1472,0.982
17:15:21:423,0.9700,0.0007,0.1401,0.980
17:15:21:430,0.9729,-0.0018,0.1445,0.984
17:15:21:434,0.9761,-0.0023,0.1545,0.988
17:15:21:439,0.9775,-0.0005,0.1596,0.990
17:15:21:452,0.9780,0.0036,0.1592,0.991
17:15:21:453,0.9773,0.0058,0.1574,0.990
17:15:21:454,0.9756,0.0046,0.1592,0.988
17:15:21:460,0.9753,0.0024,0.1623,0.989
17:15:21:464,0.9778,0.0009,0.1631,0.991
17:15:21:471,0.9812,-0.0018,0.1596,0.994
17:15:21:476,0.9783,-0.0040,0.1582,0.991
17:15:21:485,0.9726,-0.0040,0.1599,0.986
17:15:21:486,0.9709,-0.0035,0.1633,0.985
17:15:21:490,0.9739,-0.0037,0.1655,0.988
17:15:21:495,0.9785,-0.0040,0.1643,0.992
17:15:21:499,0.9832,-0.0049,0.1589,0.996
17:15:21:504,0.9868,-0.0040,0.1548,0.999
17:15:21:511,0.9927,0.0002,0.1474,1.004
17:15:21:514,1.0025,0.0024,0.1318,1.011
17:15:21:519,1.0164,0.0024,0.1176,1.023
17:15:21:525,1.0308,0.0012,0.1100,1.037
17:15:21:530,1.0421,-0.0003,0.1046,1.047
17:15:21:534,1.0477,0.0016,0.1034,1.053
17:15:21:539,1.0514,0.0041,0.1024,1.056
17:15:21:553,1.0560,0.0036,0.1032,1.061
17:15:21:554,1.0577,0.0053,0.1105,1.063
17:15:21:554,1.0509,0.0087,0.1213,1.058
17:15:21:560,1.0345,0.0126,0.1342,1.043
17:15:21:564,1.0210,0.0146,0.1477,1.032
17:15:21:572,1.0142,0.0166,0.1504,1.025
17:15:21:574,1.0083,0.0151,0.1423,1.018
17:15:21:584,0.9995,0.0126,0.1362,1.009
17:15:21:584,0.9876,0.0119,0.1369,0.997
17:15:21:592,0.9758,0.0124,0.1411,0.986
17:15:21:595,0.9687,0.0097,0.1467,0.980
17:15:21:599,0.9682,0.0065,0.1496,0.980
17:15:21:605,0.9643,0.0038,0.1440,0.975
17:15:21:610,0.9514,0.0051,0.1406,0.962
17:15:21:614,0.9372,0.0073,0.1501,0.949
17:15:21:620,0.9282,0.0056,0.1640,0.943
17:15:21:625,0.9240,0.0007,0.1684,0.939
17:15:21:631,0.9223,-0.0018,0.1687,0.938
17:15:21:635,0.9260,-0.0001,0.1714,0.942
17:15:21:640,0.9335,0.0012,0.1753,0.950
17:15:21:653,0.9401,-0.0003,0.1807,0.957
17:15:21:654,0.9423,-0.0010,0.1895,0.961
17:15:21:655,0.9401,0.0012,0.1975,0.961
17:15:21:660,0.9384,0.0036,0.2039,0.960
17:15:21:666,0.9367,0.0051,0.2085,0.960
17:15:21:672,0.9313,0.0056,0.2164,0.956
17:15:21:674,0.9255,0.0051,0.2254,0.953
17:15:21:682,0.9225,0.0043,0.2288,0.950
17:15:21:685,0.9213,0.0048,0.2291,0.949
17:15:21:696,0.9230,0.0046,0.2298,0.951
17:15:21:697,0.9272,0.0036,0.2293,0.955
17:15:21:701,0.9316,0.0031,0.2271,0.959
17:15:21:705,0.9299,0.0031,0.2242,0.957
17:15:21:712,0.9225,0.0053,0.2200,0.948
17:15:21:715,0.9135,0.0112,0.2183,0.939
17:15:21:720,0.9074,0.0192,0.2247,0.935
17:15:21:734,0.9040,0.0261,0.2386,0.935
17:15:21:735,0.9018,0.0349,0.2584,0.939
17:15:21:736,0.9066,0.0447,0.2723,0.948
17:15:21:741,0.9208,0.0513,0.2726,0.962
17:15:21:745,0.9399,0.0559,0.2657,0.978
17:15:21:751,0.9568,0.0606,0.2579,0.993
17:15:21:755,0.9687,0.0645,0.2479,1.002
17:15:21:760,0.9753,0.0684,0.2381,1.006
17:15:21:765,0.9795,0.0708,0.2330,1.009
17:15:21:771,0.9724,0.0845,0.2186,1.000
17:15:21:775,0.9636,0.1002,0.2073,0.991
17:15:21:781,0.9612,0.1092,0.2058,0.989
17:15:21:785,0.9668,0.1112,0.2039,0.994
17:15:21:792,0.9731,0.1121,0.1968,0.999
17:15:21:796,0.9788,0.1173,0.1875,1.003
17:15:21:801,0.9858,0.1246,0.1772,1.009
17:15:21:806,0.9944,0.1295,0.1716,1.017
17:15:21:811,0.9988,0.1297,0.1716,1.022
17:15:21:815,0.9990,0.1288,0.1763,1.023
17:15:21:820,0.9976,0.1310,0.1856,1.023
17:15:21:835,0.9956,0.1358,0.1968,1.024
17:15:21:836,0.9956,0.1388,0.2056,1.026
17:15:21:837,1.0022,0.1410,0.2139,1.034
17:15:21:841,1.0149,0.1424,0.2252,1.049
17:15:21:846,1.0303,0.1407,0.2435,1.068
17:15:21:852,1.0379,0.1398,0.2665,1.081
17:15:21:855,1.0379,0.1437,0.2902,1.087
17:15:21:861,1.0316,0.1500,0.3151,1.089
17:15:21:865,1.0350,0.1544,0.3415,1.101
17:15:21:872,1.0506,0.1578,0.3694,1.125
17:15:21:876,1.0650,0.1598,0.3972,1.148
17:15:21:881,1.0785,0.1556,0.4251,1.170
17:15:21:886,1.0863,0.1512,0.4466,1.184
17:15:21:892,1.0760,0.1542,0.4405,1.173
17:15:21:899,1.0658,0.1561,0.4202,1.156
17:15:21:904,1.0560,0.1517,0.3960,1.138
17:15:21:905,1.0418,0.1407,0.3699,1.114
17:15:21:911,1.0303,0.1270,0.3449,1.094
17:15:21:917,1.0166,0.1175,0.3202,1.072
17:15:21:921,1.0037,0.1109,0.2934,1.052
17:15:21:931,0.9927,0.1065,0.2687,1.034
17:15:21:932,0.9871,0.0958,0.2542,1.024
17:15:21:936,0.9854,0.0860,0.2454,1.019
17:15:21:941,0.9981,0.0735,0.2391,1.029
17:15:21:951,1.0066,0.0625,0.2369,1.036
17:15:21:952,1.0032,0.0544,0.2428,1.034
17:15:21:956,0.9863,0.0525,0.2542,1.020
17:15:21:961,0.9665,0.0522,0.2662,1.004
17:15:21:966,0.9550,0.0476,0.2770,0.996
17:15:21:972,0.9472,0.0395,0.2853,0.990
17:15:21:976,0.9477,0.0320,0.2926,0.992
17:15:21:981,0.9506,0.0254,0.2951,0.996
17:15:21:986,0.9514,0.0207,0.2907,0.995
17:15:21:992,0.9514,0.0183,0.2806,0.992
17:15:21:996,0.9548,0.0163,0.2711,0.993
17:15:22:002,0.9592,0.0124,0.2628,0.995
17:15:22:007,0.9475,0.0119,0.2513,0.980
17:15:22:012,0.9286,0.0166,0.2401,0.959
17:15:22:016,0.9247,0.0185,0.2344,0.954
17:15:22:021,0.9262,0.0173,0.2325,0.955
17:15:22:034,0.9218,0.0200,0.2305,0.950
17:15:22:036,0.9110,0.0298,0.2278,0.940
17:15:22:037,0.8925,0.0420,0.2274,0.922
17:15:22:042,0.8724,0.0540,0.2318,0.904
17:15:22:046,0.8556,0.0652,0.2406,0.891
17:15:22:052,0.8438,0.0752,0.2538,0.884
17:15:22:057,0.8419,0.0835,0.2738,0.889
17:15:22:062,0.8411,0.0938,0.2931,0.896
17:15:22:066,0.8340,0.1070,0.3088,0.896
17:15:22:072,0.8321,0.1226,0.3210,0.900
17:15:22:077,0.8372,0.1380,0.3283,0.910
17:15:22:082,0.8446,0.1505,0.3325,0.920
17:15:22:087,0.8463,0.1625,0.3315,0.923
17:15:22:095,0.8448,0.1728,0.3283,0.923
17:15:22:098,0.8372,0.1869,0.3239,0.917
17:15:22:102,0.8233,0.2036,0.3310,0.910
