time,gFx,gFy,gFz,TgF
17:12:26:466,0.9924,0.1182,0.1494,1.011
17:12:26:467,0.9763,0.1373,0.1357,0.995
17:12:26:470,0.9609,0.1486,0.1369,0.982
17:12:26:476,0.9560,0.1473,0.1489,0.979
17:12:26:481,0.9626,0.1412,0.1508,0.985
17:12:26:485,0.9670,0.1385,0.1418,0.987
17:12:26:492,0.9619,0.1368,0.1401,0.982
17:12:26:495,0.9592,0.1300,0.1486,0.979
17:12:26:501,0.9582,0.1224,0.1633,0.980
17:12:26:505,0.9477,0.1160,0.1797,0.972
17:12:26:511,0.9394,0.1068,0.1743,0.961
17:12:26:516,0.9438,0.0965,0.1562,0.961
17:12:26:521,0.9536,0.0877,0.1442,0.968
17:12:26:525,0.9607,0.0818,0.1372,0.974
17:12:26:531,0.9599,0.0799,0.1254,0.971
17:12:26:537,0.9570,0.0804,0.1208,0.968
17:12:26:541,0.9553,0.0816,0.1332,0.968
17:12:26:546,0.9563,0.0799,0.1526,0.972
17:12:26:551,0.9565,0.0762,0.1662,0.974
17:12:26:560,0.9563,0.0750,0.1721,0.975
17:12:26:562,0.9555,0.0784,0.1711,0.974
17:12:26:566,0.9533,0.0833,0.1697,0.972
17:12:26:571,0.9553,0.0845,0.1755,0.975
17:12:26:576,0.9602,0.0843,0.1934,0.983
17:12:26:582,0.9651,0.0830,0.2056,0.990
17:12:26:586,0.9707,0.0818,0.2027,0.995
17:12:26:591,0.9751,0.0806,0.1995,0.999
17:12:26:596,0.9780,0.0799,0.2068,1.003
17:12:26:601,0.9792,0.0782,0.2129,1.005
17:12:26:606,0.9810,0.0742,0.2146,1.007
17:12:26:611,0.9839,0.0681,0.2102,1.008
17:12:26:616,0.9849,0.0679,0.1985,1.007
17:12:26:621,0.9841,0.0718,0.1919,1.005
17:12:26:626,0.9822,0.0745,0.1882,1.003
17:12:26:631,0.9758,0.0738,0.1926,0.997
17:12:26:636,0.9709,0.0708,0.1997,0.994
17:12:26:651,0.9714,0.0676,0.1922,0.993
17:12:26:652,0.9746,0.0654,0.1809,0.993
17:12:26:653,0.9778,0.0659,0.1780,0.996
17:12:26:659,0.9817,0.0637,0.1834,1.001
17:12:26:662,0.9910,0.0581,0.1948,1.012
17:12:26:666,1.0020,0.0559,0.2054,1.024
17:12:26:671,1.0093,0.0559,0.2078,1.032
17:12:26:676,1.0096,0.0584,0.2017,1.031
17:12:26:682,1.0059,0.0615,0.1953,1.027
17:12:26:686,1.0054,0.0615,0.1961,1.026
17:12:26:693,1.0037,0.0635,0.1997,1.025
17:12:26:696,1.0005,0.0701,0.2000,1.023
17:12:26:702,0.9959,0.0706,0.1912,1.017
17:12:26:707,0.9907,0.0635,0.1814,1.009
17:12:26:711,0.9858,0.0943,0.1738,1.005
17:12:26:718,0.9968,0.1026,0.1567,1.014
17:12:26:722,1.0125,0.0938,0.1352,1.026
17:12:26:727,1.0147,0.0667,0.1284,1.025
17:12:26:732,1.0179,0.0691,0.1372,1.029
17:12:26:737,1.0228,0.1053,0.1411,1.038
17:12:26:743,1.0274,0.1324,0.1357,1.045
17:12:26:747,1.0235,0.1537,0.1296,1.043
17:12:26:752,1.0184,0.1598,0.1320,1.039
17:12:26:758,1.0159,0.1454,0.1359,1.035
17:12:26:762,1.0191,0.1451,0.1337,1.038
17:12:26:767,1.0276,0.1642,0.1200,1.048
17:12:26:771,1.0264,0.1872,0.1046,1.049
17:12:26:778,0.9990,0.1935,0.1000,1.023
17:12:26:782,0.9538,0.1889,0.1127,0.979
17:12:26:787,0.9306,0.1882,0.1159,0.956
17:12:26:792,0.9313,0.1872,0.0954,0.955
17:12:26:796,0.9326,0.1930,0.0841,0.956
17:12:26:802,0.9194,0.1982,0.0973,0.945
17:12:26:807,0.9005,0.1999,0.1196,0.930
17:12:26:813,0.8925,0.1921,0.1244,0.921
17:12:26:817,0.9025,0.1879,0.1220,0.930
17:12:26:823,0.9159,0.1904,0.1291,0.944
17:12:26:827,0.9069,0.1823,0.1340,0.935
17:12:26:832,0.8876,0.1669,0.1420,0.914
17:12:26:837,0.8812,0.1593,0.1618,0.910
17:12:26:844,0.8903,0.1581,0.1853,0.923
17:12:26:847,0.9052,0.1600,0.2098,0.943
17:12:26:853,0.9172,0.1610,0.2239,0.958
17:12:26:859,0.9267,0.1635,0.2288,0.968
17:12:26:862,0.9328,0.1691,0.2293,0.975
17:12:26:867,0.9379,0.1742,0.2303,0.981
17:12:26:872,0.9514,0.1823,0.2244,0.994
17:12:26:878,0.9658,0.1940,0.2132,1.008
17:12:26:883,0.9724,0.2150,0.2039,1.017
17:12:26:887,0.9648,0.2458,0.2039,1.016
17:12:26:892,0.9744,0.2581,0.1897,1.026
17:12:26:897,1.0037,0.2520,0.1738,1.049
17:12:26:903,1.0382,0.2432,0.1750,1.081
17:12:26:907,1.0575,0.2341,0.2012,1.102
17:12:26:912,1.0496,0.2234,0.2374,1.099
17:12:26:918,1.0223,0.2172,0.2652,1.078
17:12:26:923,0.9981,0.2116,0.2770,1.057
17:12:26:928,0.9817,0.2150,0.2689,1.040
17:12:26:933,0.9707,0.2258,0.2596,1.030
17:12:26:937,0.9675,0.2290,0.2655,1.029
17:12:26:943,0.9673,0.2260,0.2916,1.035
17:12:26:948,0.9643,0.2273,0.3246,1.043
17:12:26:953,0.9592,0.2351,0.3471,1.047
17:12:26:957,0.9585,0.2429,0.3528,1.050
17:12:26:963,0.9631,0.2395,0.3447,1.051
17:12:26:967,0.9643,0.2290,0.3242,1.043
17:12:26:972,0.9572,0.2204,0.2865,1.023
17:12:26:978,0.9524,0.2114,0.2418,1.005
17:12:26:983,0.9607,0.2031,0.2149,1.005
17:12:26:988,0.9734,0.2033,0.2083,1.016
17:12:26:993,0.9949,0.1955,0.2146,1.036
17:12:26:997,1.0125,0.1789,0.2393,1.056
17:12:27:003,1.0176,0.1825,0.2736,1.069
17:12:27:007,1.0225,0.1948,0.3026,1.084
17:12:27:013,1.0386,0.1933,0.3224,1.105
17:12:27:017,1.0472,0.1918,0.3337,1.116
17:12:27:024,1.0423,0.1992,0.3400,1.114
17:12:27:029,1.0482,0.1872,0.3447,1.119
17:12:27:033,1.0345,0.1857,0.3393,1.104
17:12:27:039,1.0098,0.1999,0.3264,1.080
17:12:27:044,1.0127,0.2043,0.3048,1.077
17:12:27:048,1.0181,0.2170,0.2855,1.079
17:12:27:054,0.9949,0.2304,0.3481,1.079
17:12:27:067,0.9590,0.2163,0.3906,1.058
