time,gFx,gFy,gFz,TgF
16:49:50:163,0.9726,0.0393,0.2019,0.994
16:49:50:167,0.9714,0.0398,0.1973,0.992
16:49:50:173,0.9695,0.0390,0.1929,0.989
16:49:50:177,0.9682,0.0378,0.1895,0.987
16:49:50:182,0.9682,0.0381,0.1885,0.987
16:49:50:187,0.9687,0.0383,0.1902,0.988
16:49:50:193,0.9690,0.0383,0.1922,0.989
16:49:50:197,0.9675,0.0393,0.1951,0.988
16:49:50:204,0.9665,0.0398,0.1983,0.987
16:49:50:207,0.9646,0.0405,0.1995,0.986
16:49:50:213,0.9636,0.0408,0.2022,0.985
16:49:50:217,0.9631,0.0395,0.2049,0.985
16:49:50:222,0.9631,0.0381,0.2100,0.986
16:49:50:227,0.9631,0.0368,0.2151,0.988
16:49:50:233,0.9641,0.0351,0.2186,0.989
16:49:50:244,0.9658,0.0349,0.2195,0.991
16:49:50:245,0.9673,0.0356,0.2200,0.993
16:49:50:248,0.9678,0.0366,0.2181,0.993
16:49:50:254,0.9680,0.0368,0.2142,0.992
16:49:50:260,0.9690,0.0376,0.2105,0.992
16:49:50:263,0.9704,0.0373,0.2093,0.993
16:49:50:267,0.9704,0.0378,0.2110,0.994
16:49:50:273,0.9687,0.0381,0.2129,0.993
16:49:50:278,0.9651,0.0376,0.2107,0.989
16:49:50:283,0.9624,0.0388,0.2083,0.985
16:49:50:288,0.9604,0.0390,0.2071,0.983
16:49:50:293,0.9599,0.0373,0.2049,0.982
16:49:50:298,0.9594,0.0376,0.2044,0.982
16:49:50:303,0.9585,0.0398,0.2066,0.981
16:49:50:308,0.9565,0.0425,0.2105,0.980
16:49:50:314,0.9533,0.0434,0.2102,0.977
16:49:50:318,0.9580,0.0417,0.2134,0.982
16:49:50:323,0.9592,0.0398,0.2171,0.984
16:49:50:329,0.9585,0.0403,0.2171,0.984
16:49:50:334,0.9592,0.0405,0.2171,0.984
16:49:50:344,0.9582,0.0408,0.2181,0.984
16:49:50:345,0.9553,0.0405,0.2171,0.980
16:49:50:348,0.9609,0.0376,0.2173,0.986
16:49:50:353,0.9663,0.0334,0.2193,0.991
16:49:50:358,0.9656,0.0342,0.2181,0.990
16:49:50:363,0.9651,0.0359,0.2159,0.990
16:49:50:368,0.9660,0.0373,0.2151,0.990
16:49:50:374,0.9680,0.0388,0.2134,0.992
16:49:50:378,0.9695,0.0405,0.2134,0.994
16:49:50:383,0.9709,0.0425,0.2168,0.996
16:49:50:388,0.9726,0.0425,0.2212,0.998
16:49:50:393,0.9761,0.0417,0.2237,1.002
16:49:50:398,0.9768,0.0400,0.2227,1.003
16:49:50:403,0.9790,0.0356,0.2269,1.006
16:49:50:408,0.9822,0.0364,0.2330,1.010
16:49:50:415,0.9863,0.0425,0.2349,1.015
16:49:50:419,0.9807,0.0415,0.2335,1.009
16:49:50:424,0.9763,0.0395,0.2332,1.005
16:49:50:428,0.9722,0.0420,0.2318,1.000
16:49:50:434,0.9697,0.0447,0.2283,0.997
16:49:50:443,0.9690,0.0452,0.2217,0.995
16:49:50:445,0.9663,0.0459,0.2176,0.992
16:49:50:448,0.9634,0.0466,0.2181,0.989
16:49:50:463,0.9621,0.0474,0.2230,0.989
16:49:50:465,0.9638,0.0493,0.2283,0.992
16:49:50:465,0.9680,0.0508,0.2342,0.997
16:49:50:469,0.9717,0.0520,0.2406,1.002
16:49:50:474,0.9763,0.0493,0.2425,1.007
16:49:50:478,0.9832,0.0459,0.2415,1.013
16:49:50:483,0.9888,0.0434,0.2386,1.018
16:49:50:489,0.9944,0.0415,0.2332,1.022
16:49:50:494,0.9880,0.0439,0.2325,1.016
16:49:50:498,0.9817,0.0437,0.2342,1.010
16:49:50:503,0.9753,0.0478,0.2406,1.006
16:49:50:508,0.9722,0.0525,0.2640,1.009
16:49:50:514,0.9724,0.0496,0.2716,1.011
16:49:50:520,0.9643,0.0481,0.2582,0.999
16:49:50:524,0.9538,0.0488,0.2560,0.989
16:49:50:529,0.9570,0.0476,0.2677,0.995
16:49:50:534,0.9629,0.0471,0.2753,1.003
16:49:50:539,0.9489,0.0469,0.2782,0.990
16:49:50:544,0.9577,0.0400,0.2755,0.997
16:49:50:549,0.9673,0.0356,0.2714,1.005
16:49:50:557,0.9768,0.0361,0.2648,1.013
16:49:50:560,0.9619,0.0449,0.2611,0.998
16:49:50:564,0.9384,0.0522,0.2665,0.977
16:49:50:569,0.9387,0.0515,0.2740,0.979
16:49:50:576,0.9264,0.0522,0.2858,0.971
16:49:50:579,0.9206,0.0520,0.2975,0.969
16:49:50:584,0.9277,0.0491,0.2973,0.975
16:49:50:589,0.9289,0.0503,0.2951,0.976
16:49:50:594,0.9201,0.0510,0.3012,0.969
16:49:50:599,0.9370,0.0471,0.3053,0.987
16:49:50:605,0.9352,0.0488,0.3102,0.987
16:49:50:609,0.9284,0.0486,0.3200,0.983
16:49:50:614,0.9257,0.0491,0.3139,0.979
16:49:50:619,0.9152,0.0615,0.3092,0.968
16:49:50:624,0.9044,0.0672,0.3215,0.962
16:49:50:630,0.9286,0.0549,0.3488,0.994
16:49:50:635,0.9509,0.0452,0.3620,1.018
16:49:50:640,0.9802,0.0376,0.3572,1.044
16:49:50:644,0.9702,0.0373,0.3721,1.040
16:49:50:649,0.9597,0.0434,0.3914,1.037
16:49:50:659,0.9301,0.0530,0.4195,1.022
16:49:50:660,0.8998,0.0691,0.3943,0.985
16:49:50:664,0.9308,0.0615,0.3911,1.012
16:49:50:670,0.9660,0.0447,0.3862,1.041
16:49:50:675,0.9739,0.0388,0.3655,1.041
16:49:50:679,0.9533,0.0417,0.3471,1.015
16:49:50:684,0.9362,0.0478,0.3427,0.998
16:49:50:689,0.9370,0.0434,0.3645,1.006
16:49:50:695,0.9357,0.0351,0.3642,1.005
16:49:50:700,0.9394,0.0415,0.3579,1.006
16:49:50:705,0.9286,0.0532,0.3474,0.993
16:49:50:709,0.9013,0.0662,0.3278,0.961
16:49:50:715,0.9238,0.0569,0.3596,0.993
16:49:50:720,0.9516,0.0403,0.3821,1.026
16:49:50:725,0.9602,0.0422,0.3728,1.031
16:49:50:730,0.9499,0.0430,0.3840,1.026
16:49:50:736,0.9418,0.0351,0.4004,1.024
16:49:50:741,0.9333,0.0227,0.4148,1.022
16:49:50:744,0.9311,0.0403,0.4368,1.029
16:49:50:751,0.9198,0.0520,0.4447,1.023
16:49:50:758,0.9071,0.0530,0.4454,1.012
16:49:50:760,0.9040,0.0439,0.4520,1.012
16:49:50:765,0.9118,0.0373,0.4715,1.027
16:49:50:770,0.9211,0.0518,0.4708,1.036
16:49:50:775,0.9130,0.0608,0.4442,1.017
16:49:50:780,0.8978,0.0642,0.4219,0.994
16:49:50:785,0.8844,0.0706,0.4080,0.977
16:49:50:791,0.8670,0.0914,0.4227,0.969
16:49:50:795,0.8590,0.0972,0.4393,0.970
16:49:50:799,0.8553,0.0816,0.4473,0.969
16:49:50:806,0.8524,0.0681,0.4530,0.968
16:49:50:810,0.8358,0.0672,0.4322,0.943
16:49:50:816,0.8213,0.0811,0.4258,0.929
16:49:50:821,0.8147,0.0984,0.4395,0.931
16:49:50:825,0.8120,0.0960,0.4539,0.935
16:49:50:831,0.8130,0.0874,0.4752,0.946
16:49:50:841,0.8328,0.0730,0.4923,0.970
16:49:50:842,0.8475,0.0657,0.4904,0.981
16:49:50:846,0.8492,0.0711,0.4855,0.981
16:49:50:850,0.8492,0.0752,0.4725,0.975
16:49:50:857,0.8463,0.0784,0.4860,0.979
16:49:50:860,0.8409,0.0813,0.5058,0.985
16:49:50:865,0.8306,0.0830,0.5258,0.987
16:49:50:870,0.8199,0.0909,0.5532,0.993
16:49:50:875,0.8189,0.0943,0.5727,1.004
16:49:50:881,0.8277,0.0945,0.5713,1.010
16:49:50:885,0.8431,0.0948,0.5796,1.027
16:49:50:891,0.8595,0.0926,0.5693,1.035
16:49:50:896,0.8702,0.0889,0.5393,1.028
16:49:50:900,0.8734,0.0877,0.5214,1.021
16:49:50:905,0.8719,0.0870,0.5072,1.012
16:49:50:910,0.8631,0.0850,0.5009,1.002
16:49:50:916,0.8477,0.0852,0.5165,0.996
16:49:50:920,0.8365,0.0769,0.5324,0.995
16:49:50:926,0.8206,0.0747,0.5366,0.983
16:49:50:930,0.8037,0.0872,0.5429,0.974
16:49:50:936,0.8030,0.0914,0.5429,0.974
16:49:50:942,0.8045,0.0892,0.5613,0.985
16:49:50:946,0.7998,0.0830,0.5737,0.988
16:49:50:950,0.7903,0.0777,0.5855,0.987
16:49:50:957,0.7795,0.0733,0.6194,0.998
16:49:50:962,0.7698,0.0681,0.6493,1.009
16:49:50:965,0.7595,0.0662,0.6578,1.007
16:49:50:970,0.7583,0.0628,0.6507,1.001
16:49:50:976,0.7646,0.0645,0.6617,1.013
16:49:50:981,0.7737,0.0598,0.6383,1.005
16:49:50:987,0.7808,0.0525,0.6062,0.990
16:49:50:991,0.7910,0.0510,0.5735,0.978
16:49:50:997,0.7874,0.0645,0.5305,0.952
16:49:51:001,0.7580,0.0931,0.4696,0.897
16:49:51:007,0.7717,0.0686,0.4647,0.903
16:49:51:011,0.8045,0.0298,0.4845,0.940
