time,gFx,gFy,gFz,TgF
16:52:19:090,0.9832,0.1192,0.1007,0.995
16:52:19:091,0.9690,0.1263,0.0892,0.981
16:52:19:096,0.9592,0.1346,0.0680,0.971
16:52:19:102,0.9538,0.1390,0.0504,0.965
16:52:19:106,0.9509,0.1410,0.0501,0.963
16:52:19:111,0.9506,0.1427,0.0665,0.964
16:52:19:117,0.9470,0.1446,0.0885,0.962
16:52:19:122,0.9426,0.1481,0.1147,0.961
16:52:19:126,0.9460,0.1493,0.1354,0.967
16:52:19:132,0.9590,0.1446,0.1364,0.979
16:52:19:136,0.9748,0.1376,0.1144,0.991
16:52:19:142,0.9888,0.1344,0.0878,1.002
16:52:19:146,0.9961,0.1334,0.0721,1.008
16:52:19:152,0.9964,0.1324,0.0707,1.008
16:52:19:156,0.9900,0.1297,0.0822,1.002
16:52:19:162,0.9849,0.1241,0.1029,0.998
16:52:19:167,0.9927,0.1178,0.1237,1.007
16:52:19:172,1.0054,0.1097,0.1237,1.019
16:52:19:176,1.0081,0.1004,0.0914,1.017
16:52:19:182,1.0008,0.0955,0.0462,1.006
16:52:19:186,0.9964,0.0940,0.0213,1.001
16:52:19:191,0.9978,0.0901,0.0277,1.002
16:52:19:196,0.9973,0.0818,0.0504,1.002
16:52:19:202,0.9912,0.0738,0.0748,0.997
16:52:19:206,0.9844,0.0694,0.0941,0.991
16:52:19:212,0.9822,0.0679,0.0995,0.990
16:52:19:217,0.9824,0.0672,0.0983,0.990
16:52:19:223,0.9832,0.0642,0.1012,0.990
16:52:19:227,0.9810,0.0606,0.1046,0.988
16:52:19:232,0.9770,0.0579,0.1064,0.985
16:52:19:237,0.9746,0.0574,0.1073,0.982
16:52:19:242,0.9746,0.0584,0.1081,0.982
16:52:19:248,0.9739,0.0596,0.1049,0.981
16:52:19:252,0.9697,0.0610,0.0944,0.976
16:52:19:257,0.9665,0.0584,0.0797,0.972
16:52:19:263,0.9704,0.0522,0.0695,0.974
16:52:19:267,0.9805,0.0466,0.0646,0.984
16:52:19:272,0.9917,0.0422,0.0614,0.995
16:52:19:277,0.9981,0.0400,0.0655,1.001
16:52:19:284,1.0000,0.0400,0.0714,1.003
16:52:19:288,1.0010,0.0400,0.0712,1.004
16:52:19:292,1.0027,0.0410,0.0697,1.006
16:52:19:298,1.0027,0.0454,0.0687,1.006
16:52:19:302,1.0003,0.0444,0.0609,1.003
16:52:19:307,0.9986,0.0447,0.0514,1.001
16:52:19:312,0.9939,0.0459,0.0445,0.996
16:52:19:317,0.9844,0.0515,0.0416,0.987
16:52:19:323,0.9729,0.0574,0.0484,0.976
16:52:19:327,0.9641,0.0657,0.0646,0.968
16:52:19:333,0.9565,0.0711,0.0751,0.962
16:52:19:337,0.9536,0.0725,0.0743,0.959
16:52:19:343,0.9553,0.0725,0.0692,0.961
16:52:19:349,0.9577,0.0733,0.0629,0.963
16:52:19:353,0.9616,0.0730,0.0577,0.966
16:52:19:358,0.9643,0.0698,0.0587,0.969
16:52:19:363,0.9665,0.0652,0.0609,0.971
16:52:19:367,0.9685,0.0603,0.0592,0.972
16:52:19:374,0.9702,0.0544,0.0541,0.973
16:52:19:378,0.9724,0.0508,0.0479,0.975
16:52:19:390,0.9753,0.0471,0.0384,0.977
16:52:19:391,0.9753,0.0459,0.0323,0.977
16:52:19:393,0.9761,0.0447,0.0311,0.978
16:52:19:398,0.9780,0.0420,0.0365,0.980
16:52:19:403,0.9834,0.0376,0.0440,0.985
16:52:19:407,0.9858,0.0344,0.0450,0.987
16:52:19:413,0.9849,0.0324,0.0423,0.986
16:52:19:417,0.9883,0.0266,0.0489,0.990
16:52:19:423,0.9964,0.0178,0.0607,0.998
16:52:19:428,1.0025,0.0107,0.0677,1.005
16:52:19:433,1.0049,0.0063,0.0682,1.007
16:52:19:438,1.0100,0.0090,0.0687,1.012
16:52:19:443,1.0152,0.0151,0.0699,1.018
16:52:19:449,1.0166,0.0180,0.0660,1.019
16:52:19:453,1.0184,0.0239,0.0572,1.020
16:52:19:459,1.0159,0.0329,0.0477,1.018
16:52:19:464,1.0105,0.0444,0.0396,1.012
16:52:19:468,1.0049,0.0540,0.0323,1.007
16:52:19:474,0.9988,0.0630,0.0281,1.001
16:52:19:478,0.9917,0.0718,0.0264,0.995
16:52:19:491,0.9829,0.0811,0.0296,0.987
16:52:19:492,0.9753,0.0894,0.0360,0.980
16:52:19:493,0.9697,0.0965,0.0352,0.975
16:52:19:499,0.9670,0.1055,0.0252,0.973
16:52:19:504,0.9673,0.1146,0.0145,0.974
16:52:19:508,0.9704,0.1200,0.0079,0.978
16:52:19:515,0.9756,0.1236,-0.0007,0.983
16:52:19:518,0.9824,0.1263,-0.0119,0.991
16:52:19:524,0.9890,0.1285,-0.0185,0.998
16:52:19:528,0.9927,0.1300,-0.0181,1.001
16:52:19:535,0.9939,0.1300,-0.0144,1.002
16:52:19:538,0.9920,0.1283,-0.0071,1.000
16:52:19:543,0.9883,0.1244,-0.0002,0.996
16:52:19:549,0.9868,0.1178,0.0015,0.994
16:52:19:554,0.9878,0.1094,-0.0027,0.994
16:52:19:558,0.9841,0.1011,-0.0078,0.989
16:52:19:565,0.9670,0.0960,-0.0083,0.972
16:52:19:568,0.9389,0.0938,0.0059,0.944
16:52:19:574,0.9172,0.0906,0.0164,0.922
16:52:19:578,0.9179,0.0892,0.0066,0.922
16:52:19:584,0.9269,0.0904,-0.0178,0.932
16:52:19:588,0.9360,0.0955,-0.0403,0.942
16:52:19:593,0.9423,0.1009,-0.0581,0.950
16:52:19:598,0.9440,0.1043,-0.0618,0.952
16:52:19:604,0.9462,0.1055,-0.0486,0.953
16:52:19:608,0.9656,0.1041,-0.0315,0.972
16:52:19:616,0.9761,0.1036,-0.0225,0.982
16:52:19:618,0.9746,0.1033,-0.0124,0.980
16:52:19:624,0.9783,0.1028,-0.0051,0.984
16:52:19:628,1.0103,0.1041,-0.0146,1.016
16:52:19:634,1.0308,0.1068,-0.0347,1.037
16:52:19:638,1.0291,0.1065,-0.0440,1.036
16:52:19:644,1.0140,0.1019,-0.0408,1.020
16:52:19:649,1.0157,0.0975,-0.0249,1.021
16:52:19:654,1.0306,0.0975,-0.0225,1.035
16:52:19:659,1.0137,0.0977,-0.0288,1.019
16:52:19:667,0.9839,0.0992,-0.0242,0.989
16:52:19:671,0.9748,0.1024,-0.0205,0.980
16:52:19:675,0.9648,0.1026,-0.0298,0.971
16:52:19:679,0.9497,0.0977,-0.0457,0.956
16:52:19:684,0.9394,0.0953,-0.0650,0.946
16:52:19:689,0.9184,0.0972,-0.0841,0.927
16:52:19:695,0.8966,0.1024,-0.0968,0.908
16:52:19:700,0.8756,0.1048,-0.1197,0.890
16:52:19:704,0.8538,0.1065,-0.1449,0.873
16:52:19:709,0.8382,0.1065,-0.1581,0.860
16:52:19:715,0.8318,0.1048,-0.1579,0.853
16:52:19:719,0.8340,0.1024,-0.1523,0.854
16:52:19:725,0.8380,0.1021,-0.1449,0.857
16:52:19:730,0.8465,0.1058,-0.1420,0.865
16:52:19:735,0.8556,0.1129,-0.1420,0.875
16:52:19:739,0.8692,0.1200,-0.1425,0.889
16:52:19:745,0.8876,0.1224,-0.1359,0.906
16:52:19:750,0.9057,0.1214,-0.1227,0.922
16:52:19:755,0.9196,0.1200,-0.1058,0.933
16:52:19:759,0.9308,0.1202,-0.0887,0.943
16:52:19:767,0.9414,0.1256,-0.0760,0.953
16:52:19:770,0.9458,0.1314,-0.0743,0.958
16:52:19:774,0.9499,0.1354,-0.0828,0.963
16:52:19:779,0.9572,0.1390,-0.0904,0.972
16:52:19:785,0.9548,0.1464,-0.0926,0.970
16:52:19:789,0.9421,0.1559,-0.0960,0.960
16:52:19:794,0.9291,0.1657,-0.1041,0.950
16:52:19:799,0.9179,0.1757,-0.1178,0.942
16:52:19:805,0.9118,0.1835,-0.1356,0.940
16:52:19:809,0.9147,0.1879,-0.1601,0.947
16:52:19:815,0.9208,0.1943,-0.1826,0.959
16:52:19:820,0.9260,0.2018,-0.1999,0.969
16:52:19:826,0.9296,0.2106,-0.2161,0.977
16:52:19:829,0.9311,0.2172,-0.2310,0.984
16:52:19:834,0.9394,0.2102,-0.2537,0.995
16:52:19:841,0.9458,0.2045,-0.2762,1.006
16:52:19:845,0.9453,0.2111,-0.2999,1.014
16:52:19:850,0.9333,0.2163,-0.3187,1.010
16:52:19:856,0.9235,0.2238,-0.3248,1.004
16:52:19:864,0.9157,0.2285,-0.3224,0.997
16:52:19:875,0.9052,0.2307,-0.3111,0.985
16:52:19:877,0.8930,0.2314,-0.2926,0.968
16:52:19:877,0.8890,0.2380,-0.2703,0.959
16:52:19:879,0.8873,0.2383,-0.2505,0.952
16:52:19:885,0.8851,0.2326,-0.2361,0.945
16:52:19:889,0.8802,0.2334,-0.2263,0.938
16:52:19:894,0.8827,0.2263,-0.2359,0.941
16:52:19:901,0.8580,0.2449,-0.2065,0.916
16:52:19:905,0.8328,0.2649,-0.1425,0.885
16:52:19:909,0.8218,0.2801,-0.0809,0.872
16:52:19:916,0.8218,0.2801,-0.0337,0.869
16:52:19:919,0.8360,0.2710,0.0096,0.879
16:52:19:925,0.8646,0.2610,0.0460,0.904
16:52:19:929,0.8903,0.2578,0.0739,0.930
16:52:19:935,0.9032,0.2537,0.0907,0.943
16:52:19:940,0.9049,0.2480,0.0956,0.943
16:52:19:946,0.9125,0.2505,0.0844,0.950
16:52:19:953,0.9296,0.2524,0.0572,0.965
16:52:19:955,0.9494,0.2480,0.0123,0.981
16:52:19:962,0.9555,0.2346,-0.0533,0.985
16:52:19:972,0.9550,0.2182,-0.1276,0.988
16:52:19:973,0.9582,0.2089,-0.1953,1.000
16:52:19:975,0.9543,0.2102,-0.2491,1.008
16:52:19:980,0.9294,0.2285,-0.2911,1.000
16:52:19:987,0.8683,0.2654,-0.3258,0.965
16:52:19:990,0.7289,0.3189,-0.3803,0.882
16:52:19:995,0.6390,0.3766,-0.4629,0.874
16:52:20:000,0.7219,0.4052,-0.4409,0.938
16:52:20:005,0.8145,0.3979,-0.4277,1.002
16:52:20:010,0.8607,0.3727,-0.4172,1.027
16:52:20:015,0.8815,0.3666,-0.3906,1.031
16:52:20:022,0.9137,0.3602,-0.3414,1.040
16:52:20:027,0.9675,0.3512,-0.2764,1.066
16:52:20:030,1.0125,0.3549,-0.2016,1.092
16:52:20:036,1.0157,0.3639,-0.1474,1.089
16:52:20:040,0.9868,0.3742,-0.1161,1.062
16:52:20:045,0.9663,0.3710,-0.0963,1.040
16:52:20:053,0.9370,0.3690,-0.0811,1.010
16:52:20:055,0.9318,0.3759,-0.0442,1.006
