time,gFx,gFy,gFz,TgF
16:00:43:807,0.9920,0.0236,0.1596,1.005
16:00:43:811,0.9968,0.0261,0.1545,1.009
16:00:43:818,0.9993,0.0254,0.1543,1.011
16:00:43:822,0.9959,0.0263,0.1543,1.008
16:00:43:827,0.9868,0.0342,0.1484,0.999
16:00:43:832,0.9714,0.0444,0.1401,0.982
16:00:43:837,0.9548,0.0557,0.1376,0.966
16:00:43:842,0.9462,0.0613,0.1428,0.959
16:00:43:847,0.9484,0.0579,0.1486,0.962
16:00:43:852,0.9553,0.0515,0.1511,0.969
16:00:43:857,0.9638,0.0469,0.1518,0.977
16:00:43:866,0.9704,0.0454,0.1523,0.983
16:00:43:872,0.9748,0.0461,0.1535,0.988
16:00:43:873,0.9734,0.0474,0.1530,0.986
16:00:43:877,0.9670,0.0498,0.1489,0.980
16:00:43:882,0.9641,0.0503,0.1445,0.976
16:00:43:889,0.9660,0.0481,0.1418,0.978
16:00:43:892,0.9680,0.0442,0.1420,0.979
16:00:43:897,0.9673,0.0432,0.1442,0.979
16:00:43:902,0.9656,0.0434,0.1477,0.978
16:00:43:908,0.9658,0.0434,0.1526,0.979
16:00:43:912,0.9678,0.0432,0.1557,0.981
16:00:43:917,0.9695,0.0425,0.1557,0.983
16:00:43:922,0.9712,0.0420,0.1552,0.984
16:00:43:927,0.9702,0.0422,0.1535,0.983
16:00:43:933,0.9682,0.0427,0.1511,0.981
16:00:43:937,0.9665,0.0417,0.1491,0.979
16:00:43:942,0.9685,0.0393,0.1460,0.980
16:00:43:948,0.9714,0.0386,0.1401,0.982
16:00:43:953,0.9736,0.0405,0.1315,0.983
16:00:43:957,0.9766,0.0420,0.1237,0.985
16:00:43:962,0.9792,0.0412,0.1186,0.987
16:00:43:968,0.9778,0.0417,0.1139,0.985
16:00:43:973,0.9775,0.0422,0.1110,0.985
16:00:43:977,0.9810,0.0420,0.1115,0.988
16:00:43:985,0.9844,0.0410,0.1154,0.992
16:00:43:988,0.9846,0.0415,0.1193,0.993
16:00:43:992,0.9841,0.0408,0.1188,0.992
16:00:43:998,0.9854,0.0393,0.1152,0.993
16:00:44:002,0.9858,0.0395,0.1127,0.993
16:00:44:008,0.9858,0.0386,0.1122,0.993
16:00:44:012,0.9856,0.0376,0.1125,0.993
16:00:44:018,0.9854,0.0376,0.1156,0.993
16:00:44:023,0.9861,0.0378,0.1191,0.994
16:00:44:028,0.9849,0.0390,0.1230,0.993
16:00:44:033,0.9836,0.0400,0.1259,0.992
16:00:44:038,0.9824,0.0398,0.1252,0.991
16:00:44:043,0.9807,0.0388,0.1237,0.989
16:00:44:048,0.9805,0.0376,0.1244,0.989
16:00:44:053,0.9827,0.0368,0.1266,0.991
16:00:44:058,0.9854,0.0373,0.1293,0.995
16:00:44:063,0.9858,0.0381,0.1310,0.995
16:00:44:068,0.9836,0.0400,0.1320,0.993
16:00:44:073,0.9810,0.0422,0.1325,0.991
16:00:44:078,0.9785,0.0452,0.1306,0.988
16:00:44:086,0.9780,0.0476,0.1279,0.987
16:00:44:089,0.9800,0.0466,0.1247,0.989
16:00:44:093,0.9819,0.0474,0.1230,0.991
16:00:44:098,0.9844,0.0488,0.1225,0.993
16:00:44:103,0.9856,0.0476,0.1232,0.994
16:00:44:109,0.9844,0.0459,0.1240,0.993
16:00:44:113,0.9841,0.0454,0.1237,0.993
16:00:44:118,0.9851,0.0452,0.1227,0.994
16:00:44:123,0.9844,0.0444,0.1225,0.993
16:00:44:128,0.9795,0.0427,0.1254,0.988
16:00:44:133,0.9741,0.0417,0.1301,0.984
16:00:44:138,0.9712,0.0420,0.1359,0.982
16:00:44:143,0.9687,0.0417,0.1406,0.980
16:00:44:150,0.9685,0.0395,0.1416,0.980
16:00:44:153,0.9702,0.0376,0.1418,0.981
16:00:44:158,0.9726,0.0364,0.1411,0.983
16:00:44:164,0.9736,0.0356,0.1396,0.984
16:00:44:169,0.9741,0.0339,0.1350,0.984
