time,gFx,gFy,gFz,TgF
15:40:56:718,0.9768,0.0513,0.0949,0.983
15:40:56:719,0.9836,0.0564,0.1051,0.991
15:40:56:723,0.9788,0.0657,0.1181,0.988
15:40:56:728,0.9660,0.0738,0.1286,0.977
15:40:56:732,0.9536,0.0794,0.1301,0.966
15:40:56:738,0.9455,0.0806,0.1259,0.957
15:40:56:742,0.9436,0.0769,0.1227,0.955
15:40:56:748,0.9443,0.0713,0.1230,0.955
15:40:56:752,0.9465,0.0701,0.1274,0.958
15:40:56:759,0.9465,0.0738,0.1345,0.959
15:40:56:762,0.9421,0.0808,0.1435,0.956
15:40:56:767,0.9382,0.0850,0.1555,0.955
15:40:56:773,0.9399,0.0867,0.1687,0.959
15:40:56:777,0.9475,0.0865,0.1797,0.968
15:40:56:782,0.9533,0.0870,0.1948,0.977
15:40:56:795,0.9555,0.0906,0.2120,0.983
15:40:56:796,0.9602,0.0928,0.2239,0.990
15:40:56:797,0.9678,0.0918,0.2296,0.999
15:40:56:804,0.9726,0.0906,0.2276,1.003
15:40:56:809,0.9729,0.0916,0.2208,1.002
15:40:56:812,0.9700,0.0933,0.2122,0.997
15:40:56:817,0.9660,0.0923,0.2041,0.992
15:40:56:822,0.9629,0.0872,0.1961,0.986
15:40:56:828,0.9616,0.0816,0.1882,0.983
15:40:56:832,0.9631,0.0764,0.1802,0.983
15:40:56:838,0.9643,0.0735,0.1719,0.982
15:40:56:842,0.9624,0.0716,0.1645,0.979
15:40:56:848,0.9597,0.0696,0.1606,0.976
15:40:56:854,0.9572,0.0696,0.1628,0.973
15:40:56:858,0.9550,0.0716,0.1684,0.972
15:40:56:863,0.9548,0.0735,0.1733,0.973
15:40:56:868,0.9594,0.0755,0.1755,0.978
15:40:56:873,0.9651,0.0772,0.1768,0.984
15:40:56:878,0.9707,0.0757,0.1772,0.990
15:40:56:883,0.9714,0.0730,0.1807,0.991
15:40:56:895,0.9692,0.0725,0.1821,0.989
15:40:56:896,0.9685,0.0728,0.1807,0.988
15:40:56:897,0.9648,0.0723,0.1787,0.984
15:40:56:903,0.9585,0.0750,0.1829,0.979
15:40:56:908,0.9616,0.0794,0.1885,0.983
15:40:56:912,0.9712,0.0794,0.1904,0.993
15:40:56:918,0.9790,0.0762,0.1890,1.000
15:40:56:923,0.9795,0.0723,0.1836,0.999
15:40:56:929,0.9751,0.0698,0.1755,0.993
