time,gFx,gFy,gFz,TgF
16:45:14:293,0.9729,0.0085,0.1078,0.979
16:45:14:294,0.9766,0.0056,0.1068,0.982
16:45:14:297,0.9824,0.0048,0.1098,0.989
16:45:14:302,0.9861,0.0041,0.1178,0.993
16:45:14:307,0.9849,0.0048,0.1276,0.993
16:45:14:320,0.9839,0.0065,0.1345,0.993
16:45:14:320,0.9822,0.0097,0.1394,0.992
16:45:14:322,0.9800,0.0112,0.1418,0.990
16:45:14:327,0.9810,0.0104,0.1416,0.991
16:45:14:333,0.9824,0.0082,0.1391,0.992
16:45:14:337,0.9805,0.0065,0.1335,0.990
16:45:14:342,0.9792,0.0060,0.1235,0.987
16:45:14:348,0.9797,0.0041,0.1115,0.986
16:45:14:352,0.9756,0.0029,0.1061,0.981
16:45:14:357,0.9739,0.0053,0.1142,0.981
16:45:14:362,0.9810,0.0063,0.1264,0.989
16:45:14:369,0.9858,0.0029,0.1332,0.995
16:45:14:372,0.9827,-0.0023,0.1391,0.992
16:45:14:377,0.9785,-0.0001,0.1342,0.988
16:45:14:382,0.9753,0.0080,0.1257,0.983
16:45:14:388,0.9707,0.0122,0.1266,0.979
16:45:14:392,0.9714,0.0104,0.1301,0.980
16:45:14:397,0.9717,0.0063,0.1325,0.981
16:45:14:403,0.9714,0.0043,0.1330,0.980
16:45:14:408,0.9717,0.0048,0.1330,0.981
16:45:14:413,0.9731,0.0063,0.1330,0.982
16:45:14:417,0.9751,0.0056,0.1347,0.984
16:45:14:423,0.9766,0.0043,0.1310,0.985
16:45:14:427,0.9778,0.0043,0.1235,0.986
16:45:14:432,0.9814,0.0051,0.1191,0.989
16:45:14:437,0.9858,0.0016,0.1181,0.993
16:45:14:442,0.9871,-0.0023,0.1193,0.994
16:45:14:457,0.9856,-0.0015,0.1191,0.993
16:45:14:458,0.9836,-0.0010,0.1196,0.991
16:45:14:459,0.9810,0.0002,0.1222,0.989
16:45:14:462,0.9785,0.0038,0.1249,0.986
16:45:14:468,0.9783,0.0065,0.1244,0.986
16:45:14:472,0.9788,0.0073,0.1222,0.986
16:45:14:478,0.9785,0.0080,0.1208,0.986
16:45:14:482,0.9797,0.0078,0.1225,0.987
16:45:14:488,0.9792,0.0090,0.1254,0.987
16:45:14:492,0.9756,0.0134,0.1264,0.984
16:45:14:499,0.9724,0.0166,0.1262,0.981
16:45:14:503,0.9675,0.0158,0.1230,0.975
16:45:14:508,0.9612,0.0158,0.1227,0.969
16:45:14:513,0.9619,0.0170,0.1235,0.970
16:45:14:518,0.9702,0.0183,0.1235,0.978
16:45:14:522,0.9795,0.0170,0.1276,0.988
16:45:14:528,0.9832,0.0139,0.1323,0.992
16:45:14:533,0.9819,0.0124,0.1332,0.991
16:45:14:540,0.9800,0.0131,0.1298,0.989
16:45:14:543,0.9802,0.0134,0.1264,0.988
16:45:14:557,0.9800,0.0114,0.1269,0.988
16:45:14:558,0.9792,0.0090,0.1259,0.987
16:45:14:559,0.9761,0.0080,0.1247,0.984
16:45:14:563,0.9739,0.0095,0.1264,0.982
16:45:14:568,0.9770,0.0095,0.1269,0.985
16:45:14:573,0.9805,0.0078,0.1200,0.988
16:45:14:578,0.9851,0.0051,0.1137,0.992
16:45:14:584,0.9890,0.0026,0.1108,0.995
16:45:14:588,0.9893,0.0024,0.1081,0.995
16:45:14:593,0.9873,0.0043,0.1078,0.993
16:45:14:598,0.9841,0.0058,0.1110,0.990
16:45:14:603,0.9812,0.0065,0.1166,0.988
16:45:14:609,0.9802,0.0068,0.1240,0.988
16:45:14:613,0.9802,0.0075,0.1303,0.989
16:45:14:618,0.9792,0.0087,0.1335,0.988
16:45:14:623,0.9788,0.0114,0.1291,0.987
16:45:14:629,0.9778,0.0144,0.1208,0.985
16:45:14:634,0.9775,0.0158,0.1130,0.984
16:45:14:639,0.9785,0.0156,0.1068,0.984
16:45:14:643,0.9800,0.0146,0.1022,0.985
16:45:14:660,0.9814,0.0126,0.1012,0.987
16:45:14:661,0.9805,0.0107,0.1039,0.986
16:45:14:662,0.9768,0.0109,0.1090,0.983
16:45:14:663,0.9726,0.0134,0.1169,0.980
16:45:14:670,0.9714,0.0144,0.1232,0.979
16:45:14:676,0.9739,0.0134,0.1262,0.982
16:45:14:680,0.9797,0.0097,0.1293,0.988
16:45:14:683,0.9854,0.0056,0.1315,0.994
16:45:14:689,0.9878,0.0038,0.1330,0.997
16:45:14:693,0.9868,0.0048,0.1320,0.996
16:45:14:698,0.9836,0.0060,0.1279,0.992
16:45:14:703,0.9819,0.0065,0.1205,0.989
16:45:14:709,0.9849,0.0051,0.1139,0.991
16:45:14:714,0.9907,0.0012,0.1066,0.996
16:45:14:719,0.9924,-0.0008,0.0985,0.997
16:45:14:723,0.9937,-0.0015,0.0944,0.998
16:45:14:729,0.9932,-0.0015,0.0939,0.998
16:45:14:735,0.9885,0.0007,0.0932,0.993
16:45:14:738,0.9834,0.0041,0.0956,0.988
16:45:14:743,0.9800,0.0063,0.0993,0.985
16:45:14:755,0.9756,0.0073,0.1024,0.981
16:45:14:757,0.9719,0.0087,0.1071,0.978
16:45:14:758,0.9717,0.0102,0.1120,0.978
16:45:14:763,0.9736,0.0104,0.1196,0.981
16:45:14:772,0.9758,0.0087,0.1247,0.984
16:45:14:773,0.9773,0.0073,0.1240,0.985
16:45:14:779,0.9773,0.0068,0.1193,0.985
16:45:14:784,0.9766,0.0095,0.1137,0.983
16:45:14:789,0.9763,0.0124,0.1071,0.982
16:45:14:794,0.9770,0.0139,0.0990,0.982
16:45:14:799,0.9783,0.0134,0.0924,0.983
16:45:14:804,0.9805,0.0122,0.0890,0.985
16:45:14:809,0.9824,0.0114,0.0897,0.987
16:45:14:814,0.9839,0.0114,0.0919,0.988
16:45:14:819,0.9846,0.0107,0.0946,0.989
16:45:14:825,0.9827,0.0100,0.0983,0.988
16:45:14:829,0.9822,0.0073,0.0988,0.987
16:45:14:835,0.9807,0.0041,0.0980,0.986
16:45:14:840,0.9792,0.0048,0.0985,0.984
16:45:14:844,0.9812,0.0036,0.1000,0.986
16:45:14:860,0.9858,-0.0008,0.1002,0.991
16:45:14:861,0.9900,-0.0045,0.1005,0.995
16:45:14:862,0.9924,-0.0064,0.1000,0.997
16:45:14:866,0.9890,-0.0032,0.0980,0.994
16:45:14:870,0.9854,0.0016,0.0956,0.990
16:45:14:874,0.9844,0.0036,0.0907,0.989
16:45:14:879,0.9819,0.0043,0.0817,0.985
16:45:14:884,0.9770,0.0073,0.0717,0.980
16:45:14:890,0.9746,0.0109,0.0668,0.977
16:45:14:895,0.9768,0.0114,0.0643,0.979
16:45:14:900,0.9763,0.0114,0.0629,0.978
16:45:14:904,0.9734,0.0131,0.0619,0.975
16:45:14:910,0.9719,0.0163,0.0646,0.974
16:45:14:915,0.9680,0.0202,0.0717,0.971
16:45:14:919,0.9663,0.0224,0.0824,0.970
16:45:14:924,0.9704,0.0239,0.0914,0.975
16:45:14:930,0.9780,0.0217,0.0973,0.983
16:45:14:935,0.9885,0.0180,0.1007,0.994
