time,gFx,gFy,gFz,TgF
16:51:43:265,1.0154,-0.0294,0.0264,1.016
16:51:43:266,1.0374,-0.0228,0.1037,1.043
16:51:43:270,1.0272,0.0029,0.1259,1.035
16:51:43:275,1.0096,0.0276,0.1203,1.017
16:51:43:280,1.0032,0.0378,0.1105,1.010
16:51:43:287,1.0015,0.0356,0.0888,1.006
16:51:43:290,0.9964,0.0300,0.0519,0.998
16:51:43:295,0.9880,0.0280,0.0281,0.989
16:51:43:300,0.9812,0.0273,0.0374,0.982
16:51:43:305,0.9758,0.0263,0.0670,0.978
16:51:43:310,0.9712,0.0276,0.0902,0.976
16:51:43:315,0.9685,0.0273,0.1020,0.974
16:51:43:322,0.9695,0.0241,0.1090,0.976
16:51:43:325,0.9714,0.0217,0.1108,0.978
16:51:43:330,0.9690,0.0185,0.1024,0.975
16:51:43:336,0.9641,0.0175,0.0910,0.969
16:51:43:341,0.9612,0.0178,0.0885,0.965
16:51:43:345,0.9612,0.0168,0.0971,0.966
16:51:43:350,0.9621,0.0148,0.1039,0.968
16:51:43:355,0.9648,0.0129,0.1059,0.971
16:51:43:361,0.9678,0.0126,0.1037,0.973
16:51:43:365,0.9687,0.0151,0.1017,0.974
16:51:43:372,0.9695,0.0178,0.1012,0.975
16:51:43:375,0.9704,0.0207,0.1002,0.976
16:51:43:380,0.9697,0.0232,0.0958,0.975
16:51:43:386,0.9670,0.0239,0.0897,0.971
16:51:43:391,0.9670,0.0236,0.0839,0.971
16:51:43:395,0.9682,0.0244,0.0756,0.971
16:51:43:401,0.9709,0.0244,0.0626,0.973
16:51:43:405,0.9751,0.0229,0.0523,0.977
16:51:43:411,0.9758,0.0217,0.0465,0.977
16:51:43:415,0.9729,0.0239,0.0440,0.974
16:51:43:421,0.9702,0.0280,0.0582,0.972
16:51:43:426,0.9724,0.0317,0.0780,0.976
16:51:43:431,0.9785,0.0339,0.0858,0.983
16:51:43:437,0.9839,0.0351,0.0802,0.988
16:51:43:441,0.9849,0.0383,0.0687,0.988
16:51:43:446,0.9817,0.0400,0.0563,0.984
16:51:43:451,0.9829,0.0398,0.0494,0.985
16:51:43:456,0.9858,0.0373,0.0514,0.988
16:51:43:461,0.9888,0.0368,0.0607,0.991
16:51:43:465,0.9888,0.0410,0.0695,0.992
16:51:43:473,0.9827,0.0415,0.0731,0.986
16:51:43:476,0.9758,0.0359,0.0743,0.979
16:51:43:481,0.9814,0.0378,0.0797,0.985
16:51:43:486,0.9832,0.0408,0.0814,0.987
16:51:43:491,0.9805,0.0408,0.0812,0.985
16:51:43:496,0.9780,0.0417,0.0795,0.982
16:51:43:502,0.9756,0.0415,0.0758,0.979
16:51:43:506,0.9766,0.0383,0.0739,0.980
16:51:43:511,0.9800,0.0349,0.0704,0.983
16:51:43:526,0.9854,0.0366,0.0665,0.988
16:51:43:528,0.9841,0.0386,0.0624,0.987
16:51:43:528,0.9802,0.0388,0.0599,0.983
16:51:43:532,0.9768,0.0388,0.0567,0.979
16:51:43:536,0.9751,0.0381,0.0555,0.977
16:51:43:542,0.9768,0.0381,0.0548,0.979
16:51:43:546,0.9792,0.0376,0.0526,0.981
16:51:43:551,0.9805,0.0371,0.0509,0.982
16:51:43:556,0.9795,0.0373,0.0497,0.981
16:51:43:562,0.9778,0.0390,0.0492,0.980
16:51:43:566,0.9775,0.0410,0.0487,0.980
16:51:43:573,0.9812,0.0422,0.0448,0.983
16:51:43:576,0.9854,0.0427,0.0399,0.987
16:51:43:582,0.9861,0.0417,0.0362,0.988
16:51:43:586,0.9836,0.0412,0.0411,0.985
16:51:43:592,0.9785,0.0420,0.0536,0.981
16:51:43:596,0.9741,0.0437,0.0609,0.977
16:51:43:603,0.9724,0.0447,0.0638,0.976
16:51:43:607,0.9690,0.0454,0.0677,0.972
