time,gFx,gFy,gFz,TgF
15:41:55:185,0.9797,0.0212,0.2496,1.011
15:41:55:190,0.9800,0.0217,0.2523,1.012
15:41:55:195,0.9817,0.0202,0.2518,1.014
15:41:55:200,0.9824,0.0210,0.2454,1.013
15:41:55:206,0.9807,0.0232,0.2403,1.010
15:41:55:210,0.9753,0.0258,0.2364,1.004
15:41:55:215,0.9687,0.0293,0.2327,0.997
15:41:55:220,0.9604,0.0317,0.2261,0.987
15:41:55:225,0.9560,0.0337,0.2164,0.981
15:41:55:231,0.9560,0.0346,0.2117,0.980
15:41:55:235,0.9599,0.0351,0.2154,0.984
15:41:55:240,0.9634,0.0351,0.2234,0.990
15:41:55:245,0.9648,0.0354,0.2300,0.992
15:41:55:250,0.9636,0.0373,0.2349,0.993
15:41:55:255,0.9624,0.0381,0.2408,0.993
15:41:55:260,0.9616,0.0371,0.2486,0.994
15:41:55:273,0.9604,0.0376,0.2545,0.994
15:41:55:274,0.9582,0.0405,0.2530,0.992
15:41:55:275,0.9568,0.0427,0.2467,0.989
15:41:55:280,0.9560,0.0430,0.2379,0.986
15:41:55:286,0.9585,0.0408,0.2298,0.986
15:41:55:291,0.9629,0.0390,0.2261,0.990
15:41:55:295,0.9668,0.0400,0.2242,0.993
15:41:55:301,0.9624,0.0449,0.2212,0.989
15:41:55:306,0.9516,0.0527,0.2122,0.976
15:41:55:310,0.9423,0.0586,0.1944,0.964
15:41:55:315,0.9355,0.0576,0.1748,0.953
15:41:55:320,0.9348,0.0520,0.1684,0.951
15:41:55:326,0.9460,0.0459,0.1731,0.963
15:41:55:331,0.9643,0.0410,0.1870,0.983
15:41:55:336,0.9800,0.0361,0.2022,1.001
15:41:55:340,0.9822,0.0337,0.2115,1.005
15:41:55:347,0.9675,0.0364,0.2132,0.991
15:41:55:351,0.9477,0.0364,0.2188,0.973
15:41:55:355,0.9286,0.0354,0.2232,0.956
15:41:55:361,0.9035,0.0412,0.2203,0.931
15:41:55:366,0.8807,0.0493,0.2051,0.906
15:41:55:371,0.8722,0.0576,0.1792,0.892
15:41:55:376,0.8732,0.0586,0.1667,0.891
15:41:55:388,0.8783,0.0520,0.1665,0.895
15:41:55:389,0.8932,0.0403,0.1609,0.908
15:41:55:391,0.9130,0.0320,0.1494,0.926
15:41:55:395,0.9352,0.0266,0.1389,0.946
