time,gFx,gFy,gFz,TgF
17:17:16:764,0.9878,0.0513,0.0858,0.993
17:17:16:765,0.9915,0.0540,0.0892,0.997
17:17:16:770,0.9954,0.0535,0.0858,1.000
17:17:16:780,0.9944,0.0513,0.0834,0.999
17:17:16:781,0.9866,0.0500,0.0890,0.992
17:17:16:787,0.9790,0.0498,0.0968,0.985
17:17:16:788,0.9783,0.0478,0.1027,0.985
17:17:16:794,0.9841,0.0447,0.1059,0.991
17:17:16:800,0.9902,0.0403,0.1061,0.997
17:17:16:803,0.9924,0.0373,0.1039,0.999
17:17:16:808,0.9929,0.0356,0.0978,0.998
17:17:16:814,0.9924,0.0327,0.0907,0.997
17:17:16:818,0.9900,0.0298,0.0895,0.994
17:17:16:832,0.9890,0.0283,0.0936,0.994
17:17:16:833,0.9898,0.0288,0.0988,0.995
17:17:16:834,0.9905,0.0285,0.1029,0.996
17:17:16:839,0.9885,0.0298,0.1064,0.995
17:17:16:844,0.9832,0.0349,0.1068,0.990
17:17:16:849,0.9763,0.0383,0.1100,0.983
17:17:16:854,0.9719,0.0403,0.1178,0.980
17:17:16:860,0.9726,0.0432,0.1213,0.981
17:17:16:864,0.9758,0.0430,0.1218,0.984
17:17:16:868,0.9800,0.0417,0.1200,0.988
17:17:16:877,0.9824,0.0437,0.1139,0.990
17:17:16:879,0.9807,0.0459,0.1056,0.987
17:17:16:884,0.9792,0.0456,0.0993,0.985
17:17:16:889,0.9770,0.0449,0.0976,0.983
17:17:16:895,0.9756,0.0452,0.0985,0.982
17:17:16:899,0.9714,0.0474,0.1012,0.978
17:17:16:904,0.9695,0.0486,0.1061,0.976
17:17:16:909,0.9751,0.0471,0.1090,0.982
17:17:16:914,0.9817,0.0471,0.1083,0.989
17:17:16:919,0.9807,0.0496,0.1034,0.987
17:17:16:935,0.9739,0.0525,0.0978,0.980
17:17:16:936,0.9734,0.0513,0.0985,0.980
17:17:16:937,0.9788,0.0491,0.1029,0.985
17:17:16:939,0.9814,0.0483,0.1078,0.989
17:17:16:945,0.9834,0.0491,0.1105,0.991
17:17:16:949,0.9834,0.0500,0.1103,0.991
17:17:16:955,0.9807,0.0510,0.1095,0.988
17:17:16:960,0.9783,0.0518,0.1090,0.986
17:17:16:964,0.9788,0.0508,0.1139,0.987
17:17:16:969,0.9819,0.0498,0.1218,0.991
17:17:16:975,0.9888,0.0508,0.1274,0.998
17:17:16:979,0.9988,0.0513,0.1274,1.008
17:17:16:984,1.0022,0.0498,0.1269,1.011
17:17:16:989,1.0017,0.0496,0.1227,1.010
17:17:16:995,1.0015,0.0500,0.1164,1.009
17:17:16:999,1.0020,0.0464,0.1108,1.009
17:17:17:004,0.9995,0.0412,0.1086,1.006
17:17:17:010,0.9927,0.0376,0.1120,1.000
17:17:17:015,0.9871,0.0349,0.1142,0.994
17:17:17:019,0.9851,0.0332,0.1086,0.992
17:17:17:034,0.9827,0.0310,0.1027,0.989
17:17:17:035,0.9810,0.0315,0.0958,0.986
17:17:17:036,0.9788,0.0329,0.0822,0.983
17:17:17:039,0.9758,0.0344,0.0900,0.981
17:17:17:045,0.9704,0.0376,0.0941,0.976
17:17:17:050,0.9665,0.0405,0.1010,0.973
17:17:17:055,0.9629,0.0430,0.1108,0.970
17:17:17:060,0.9607,0.0469,0.1139,0.969
17:17:17:065,0.9619,0.0518,0.1137,0.970
17:17:17:071,0.9612,0.0559,0.1117,0.969
17:17:17:077,0.9548,0.0596,0.1090,0.963
17:17:17:079,0.9470,0.0635,0.1086,0.955
17:17:17:085,0.9426,0.0652,0.1120,0.951
17:17:17:092,0.9392,0.0672,0.1166,0.949
17:17:17:095,0.9392,0.0684,0.1186,0.949
17:17:17:100,0.9448,0.0674,0.1166,0.954
17:17:17:105,0.9502,0.0645,0.1127,0.959
17:17:17:110,0.9558,0.0625,0.1046,0.964
17:17:17:116,0.9621,0.0608,0.0963,0.969
17:17:17:120,0.9643,0.0584,0.0934,0.971
17:17:17:131,0.9636,0.0566,0.0956,0.970
17:17:17:133,0.9641,0.0566,0.0980,0.971
17:17:17:135,0.9631,0.0579,0.0983,0.970
17:17:17:141,0.9616,0.0581,0.1005,0.969
17:17:17:145,0.9636,0.0576,0.1046,0.971
17:17:17:150,0.9690,0.0559,0.1081,0.977
17:17:17:155,0.9736,0.0549,0.1090,0.981
17:17:17:161,0.9790,0.0532,0.1093,0.987
17:17:17:165,0.9846,0.0508,0.1098,0.992
17:17:17:170,0.9880,0.0491,0.1112,0.995
17:17:17:175,0.9893,0.0483,0.1142,0.997
17:17:17:180,0.9915,0.0456,0.1171,0.999
17:17:17:185,0.9946,0.0430,0.1181,1.003
17:17:17:191,0.9934,0.0422,0.1171,1.001
17:17:17:196,0.9890,0.0420,0.1188,0.997
17:17:17:200,0.9851,0.0422,0.1237,0.994
17:17:17:205,0.9814,0.0420,0.1298,0.991
17:17:17:210,0.9817,0.0388,0.1308,0.991
17:17:17:216,0.9834,0.0368,0.1254,0.992
17:17:17:221,0.9819,0.0376,0.1156,0.989
17:17:17:233,0.9763,0.0371,0.1054,0.983
17:17:17:234,0.9714,0.0327,0.0985,0.977
17:17:17:236,0.9695,0.0273,0.0946,0.974
17:17:17:241,0.9702,0.0251,0.0917,0.975
17:17:17:245,0.9704,0.0254,0.0866,0.975
17:17:17:252,0.9692,0.0232,0.0809,0.973
17:17:17:261,0.9680,0.0197,0.0758,0.971
17:17:17:262,0.9663,0.0168,0.0646,0.969
17:17:17:265,0.9656,0.0122,0.0558,0.967
17:17:17:270,0.9626,0.0117,0.0489,0.964
17:17:17:276,0.9538,0.0131,0.0404,0.955
17:17:17:280,0.9465,0.0112,0.0401,0.947
17:17:17:286,0.9433,0.0065,0.0462,0.944
17:17:17:291,0.9411,0.0043,0.0543,0.943
17:17:17:297,0.9387,0.0048,0.0626,0.941
17:17:17:301,0.9370,0.0078,0.0719,0.940
17:17:17:306,0.9357,0.0134,0.0792,0.939
17:17:17:311,0.9348,0.0212,0.0858,0.939
17:17:17:316,0.9343,0.0273,0.0919,0.939
17:17:17:321,0.9367,0.0332,0.0976,0.942
17:17:17:334,0.9462,0.0354,0.1000,0.952
17:17:17:335,0.9570,0.0378,0.1010,0.963
17:17:17:338,0.9634,0.0410,0.1020,0.970
17:17:17:342,0.9629,0.0459,0.1049,0.970
17:17:17:346,0.9560,0.0510,0.1061,0.963
17:17:17:353,0.9472,0.0574,0.1056,0.955
17:17:17:356,0.9428,0.0625,0.1064,0.951
17:17:17:362,0.9418,0.0669,0.1071,0.950
17:17:17:366,0.9426,0.0723,0.1093,0.952
17:17:17:371,0.9458,0.0772,0.1139,0.956
17:17:17:377,0.9536,0.0828,0.1242,0.965
17:17:17:381,0.9653,0.0862,0.1467,0.980
17:17:17:386,0.9814,0.0840,0.1826,1.002
17:17:17:393,0.9983,0.0794,0.2168,1.025
17:17:17:396,1.0120,0.0742,0.2335,1.041
17:17:17:401,1.0210,0.0676,0.2393,1.051
17:17:17:407,1.0267,0.0591,0.2425,1.057
17:17:17:412,1.0291,0.0505,0.2364,1.057
17:17:17:418,1.0225,0.0410,0.2154,1.046
17:17:17:421,1.0100,0.0266,0.1819,1.027
17:17:17:435,0.9959,0.0134,0.1442,1.006
17:17:17:436,0.9827,0.0046,0.1125,0.989
17:17:17:438,0.9736,0.0004,0.0980,0.979
17:17:17:441,0.9700,-0.0037,0.1034,0.975
17:17:17:448,0.9707,-0.0064,0.1191,0.978
17:17:17:452,0.9734,-0.0062,0.1313,0.982
17:17:17:459,0.9744,-0.0084,0.1411,0.985
17:17:17:462,0.9780,-0.0133,0.1445,0.989
17:17:17:467,0.9846,-0.0162,0.1428,0.995
17:17:17:471,0.9880,-0.0164,0.1460,0.999
17:17:17:477,0.9394,0.0774,0.1577,0.956
17:17:17:481,0.8446,0.2265,0.1464,0.887
17:17:17:486,0.8893,0.0777,0.1626,0.907
17:17:17:492,0.9797,-0.0727,0.1885,1.000
17:17:17:497,1.0330,-0.1272,0.1956,1.059
17:17:17:501,1.0245,-0.1301,0.1961,1.051
17:17:17:507,0.9885,-0.1257,0.1966,1.016
17:17:17:511,0.9497,-0.1186,0.1956,0.977
17:17:17:517,0.9084,-0.1230,0.1704,0.932
17:17:17:522,0.8392,-0.0570,0.1516,0.855
17:17:17:527,0.7549,0.0584,0.1567,0.773
17:17:17:531,0.7055,0.1004,0.1699,0.733
17:17:17:538,0.6996,0.0755,0.1848,0.728
17:17:17:548,0.7233,0.0293,0.1880,0.748
17:17:17:549,0.7517,-0.0076,0.1809,0.773
17:17:17:552,0.7703,-0.0233,0.1699,0.789
17:17:17:558,0.7747,-0.0172,0.1562,0.790
17:17:17:563,0.7681,-0.0101,0.1423,0.781
17:17:17:567,0.7595,-0.0081,0.1313,0.771
17:17:17:572,0.7527,-0.0089,0.1279,0.763
17:17:17:579,0.7495,-0.0157,0.1328,0.761
17:17:17:582,0.7534,-0.0243,0.1460,0.768
17:17:17:587,0.7624,-0.0316,0.1604,0.780
17:17:17:592,0.7732,-0.0375,0.1724,0.793
17:17:17:598,0.7808,-0.0419,0.1824,0.803
17:17:17:602,0.7849,-0.0455,0.1924,0.809
17:17:17:607,0.7898,-0.0499,0.2044,0.817
17:17:17:612,0.7969,-0.0519,0.2283,0.831
17:17:17:618,0.8072,-0.0509,0.2626,0.850
17:17:17:622,0.8267,-0.0487,0.2990,0.880
17:17:17:627,0.8504,-0.0475,0.3334,0.915
17:17:17:632,0.8705,-0.0426,0.3586,0.942
17:17:17:637,0.8849,-0.0345,0.3701,0.960
17:17:17:644,0.8954,-0.0274,0.3633,0.967
17:17:17:648,0.9015,-0.0213,0.3449,0.965
17:17:17:654,0.9008,-0.0164,0.3244,0.958
17:17:17:659,0.8934,-0.0135,0.3034,0.944
17:17:17:662,0.8839,-0.0125,0.2841,0.929
17:17:17:667,0.8714,-0.0108,0.2677,0.912
17:17:17:672,0.8509,-0.0067,0.2496,0.887
17:17:17:679,0.8257,-0.0076,0.2296,0.857
17:17:17:682,0.8086,-0.0098,0.2019,0.834
17:17:17:687,0.7869,-0.0125,0.1689,0.805
17:17:17:693,0.7600,-0.0133,0.1394,0.773
17:17:17:698,0.7338,-0.0135,0.1181,0.743
17:17:17:702,0.7245,-0.0274,0.1029,0.732
17:17:17:708,0.7331,-0.0543,0.0939,0.741
17:17:17:712,0.7226,-0.0392,0.0895,0.729
17:17:17:718,0.7047,-0.0135,0.0944,0.711
17:17:17:722,0.6999,-0.0067,0.1086,0.708
17:17:17:727,0.7065,-0.0108,0.1244,0.717
17:17:17:733,0.7206,-0.0118,0.1384,0.734
17:17:17:739,0.7319,-0.0071,0.1501,0.747
17:17:17:743,0.7392,-0.0098,0.1589,0.756
17:17:17:748,0.7556,-0.0235,0.1633,0.773
17:17:17:752,0.7610,-0.0194,0.1594,0.778
17:17:17:761,0.7517,-0.0118,0.1526,0.767
17:17:17:763,0.7578,-0.0181,0.1572,0.774
17:17:17:767,0.7790,-0.0328,0.1741,0.799
17:17:17:775,0.7932,-0.0367,0.1992,0.819
17:17:17:779,0.8059,-0.0355,0.2357,0.840
17:17:17:783,0.8243,-0.0382,0.2738,0.869
17:17:17:788,0.8482,-0.0433,0.3024,0.902
17:17:17:793,0.8812,-0.0470,0.3190,0.938
17:17:17:798,0.9216,-0.0514,0.3330,0.981
17:17:17:803,0.9577,-0.0555,0.3462,1.020
17:17:17:809,0.9846,-0.0551,0.3545,1.048
17:17:17:813,0.9966,-0.0460,0.3550,1.059
17:17:17:819,0.9924,-0.0238,0.3510,1.053
17:17:17:823,0.9788,0.0012,0.3491,1.039
17:17:17:829,0.9756,0.0168,0.3466,1.035
17:17:17:836,0.9920,0.0219,0.3374,1.048
17:17:17:838,1.0127,0.0254,0.3232,1.063
17:17:17:843,1.0416,0.0298,0.3168,1.089
17:17:17:848,1.0829,0.0310,0.3202,1.130
17:17:17:853,1.1359,0.0227,0.3215,1.181
17:17:17:859,1.1758,0.0258,0.2982,1.213
17:17:17:863,1.2039,0.0283,0.2476,1.229
17:17:17:868,1.2249,0.0258,0.1819,1.239
17:17:17:874,1.2427,0.0183,0.1293,1.250
17:17:17:879,1.2559,0.0192,0.1010,1.260
17:17:17:883,1.2618,0.0322,0.1046,1.267
17:17:17:888,1.2625,0.0544,0.1291,1.270
17:17:17:893,1.2633,0.0889,0.1670,1.277
17:17:17:899,1.2723,0.1114,0.2110,1.294
17:17:17:903,1.2955,0.0999,0.2286,1.319
17:17:17:909,1.3024,0.1097,0.2122,1.324
17:17:17:913,1.3227,0.0943,0.1809,1.338
17:17:17:920,1.3408,0.1070,0.1609,1.355
17:17:17:930,1.3564,0.1292,0.1621,1.372
17:17:17:931,1.3813,0.1591,0.2044,1.405
17:17:17:936,1.4178,0.1762,0.2726,1.454
