time,gFx,gFy,gFz,TgF
17:22:02:035,0.9418,0.0302,0.2178,0.967
17:22:02:038,0.9418,0.0295,0.2122,0.966
17:22:02:044,0.9377,0.0298,0.2107,0.962
17:22:02:047,0.9335,0.0293,0.2090,0.957
17:22:02:053,0.9286,0.0271,0.2085,0.952
17:22:02:058,0.9211,0.0241,0.2046,0.944
17:22:02:063,0.9128,0.0232,0.1897,0.933
17:22:02:068,0.9071,0.0224,0.1716,0.923
17:22:02:073,0.9013,0.0217,0.1636,0.916
17:22:02:078,0.8937,0.0202,0.1643,0.909
17:22:02:083,0.8864,0.0170,0.1672,0.902
17:22:02:090,0.8822,0.0136,0.1702,0.899
17:22:02:093,0.8812,0.0095,0.1716,0.898
17:22:02:099,0.8812,0.0087,0.1721,0.898
17:22:02:103,0.8812,0.0131,0.1665,0.897
17:22:02:108,0.8805,0.0183,0.1538,0.894
17:22:02:113,0.8778,0.0234,0.1391,0.889
17:22:02:119,0.8719,0.0285,0.1262,0.881
17:22:02:123,0.8658,0.0334,0.1220,0.875
17:22:02:128,0.8573,0.0390,0.1284,0.868
17:22:02:135,0.8482,0.0434,0.1340,0.860
17:22:02:139,0.8414,0.0500,0.1379,0.854
17:22:02:143,0.8328,0.0588,0.1411,0.847
17:22:02:149,0.8206,0.0684,0.1401,0.835
17:22:02:153,0.8057,0.0801,0.1396,0.822
17:22:02:159,0.7910,0.0909,0.1423,0.809
17:22:02:163,0.7790,0.1002,0.1482,0.799
17:22:02:168,0.7661,0.1082,0.1667,0.791
17:22:02:173,0.7531,0.1080,0.2058,0.788
17:22:02:179,0.7470,0.0884,0.2508,0.793
17:22:02:183,0.7441,0.0877,0.2875,0.803
17:22:02:188,0.7395,0.0977,0.3009,0.804
17:22:02:193,0.7299,0.1058,0.2892,0.792
17:22:02:202,0.7248,0.1060,0.2672,0.780
17:22:02:203,0.7172,0.0764,0.2374,0.759
17:22:02:208,0.7057,0.0566,0.2261,0.743
17:22:02:213,0.7008,0.0552,0.2264,0.739
17:22:02:219,0.6996,0.0591,0.2159,0.735
17:22:02:223,0.6957,0.0613,0.1944,0.725
17:22:02:229,0.6906,0.0606,0.1736,0.715
17:22:02:235,0.6893,0.0552,0.1511,0.708
17:22:02:239,0.6925,0.0471,0.1222,0.705
17:22:02:243,0.6955,0.0405,0.0990,0.704
17:22:02:249,0.6952,0.0364,0.0966,0.703
17:22:02:253,0.6937,0.0339,0.1178,0.704
17:22:02:259,0.6981,0.0361,0.1513,0.715
17:22:02:264,0.7045,0.0361,0.1863,0.730
17:22:02:269,0.7126,0.0334,0.2210,0.747
17:22:02:274,0.7250,0.0298,0.2518,0.768
17:22:02:279,0.7424,0.0256,0.2762,0.793
17:22:02:284,0.7644,0.0219,0.2985,0.821
17:22:02:289,0.7876,0.0166,0.3183,0.850
17:22:02:294,0.8072,0.0114,0.3266,0.871
17:22:02:301,0.8186,0.0095,0.3200,0.879
17:22:02:304,0.8270,0.0097,0.3004,0.880
17:22:02:309,0.8328,0.0124,0.2775,0.878
17:22:02:314,0.8331,0.0183,0.2579,0.872
17:22:02:320,0.8282,0.0256,0.2579,0.868
17:22:02:324,0.8233,0.0327,0.2826,0.871
17:22:02:330,0.8206,0.0422,0.3171,0.881
17:22:02:335,0.8228,0.0544,0.3391,0.892
17:22:02:341,0.8321,0.0684,0.3435,0.903
17:22:02:346,0.8499,0.0813,0.3388,0.919
17:22:02:349,0.8776,0.0911,0.3220,0.939
17:22:02:355,0.9179,0.0975,0.2853,0.966
17:22:02:360,0.9626,0.1046,0.2293,0.995
17:22:02:364,1.0047,0.1153,0.1750,1.026
17:22:02:370,1.0450,0.1295,0.1291,1.061
17:22:02:374,1.0907,0.1446,0.0932,1.104
17:22:02:381,1.1513,0.1559,0.0707,1.164
17:22:02:385,1.2190,0.1622,0.0509,1.231
17:22:02:390,1.2833,0.1691,0.0330,1.295
17:22:02:394,1.3342,0.1816,0.0274,1.347
17:22:02:401,1.3747,0.2045,0.0433,1.391
17:22:02:405,1.4087,0.2285,0.0704,1.429
17:22:02:412,1.4322,0.2307,0.0958,1.454
17:22:02:416,1.4505,0.2471,0.1181,1.476
17:22:02:421,1.4586,0.2830,0.1308,1.492
17:22:02:426,1.4535,0.3153,0.1340,1.493
17:22:02:430,1.4405,0.3424,0.1389,1.487
17:22:02:436,1.4288,0.3605,0.1394,1.480
17:22:02:440,1.4253,0.3644,0.1298,1.477
17:22:02:445,1.4241,0.3571,0.1330,1.474
17:22:02:450,1.4249,0.3485,0.1572,1.475
17:22:02:455,1.4190,0.3419,0.1931,1.472
17:22:02:460,1.3980,0.3380,0.2335,1.457
17:22:02:466,1.3613,0.3400,0.2755,1.430
17:22:02:470,1.3127,0.3400,0.3264,1.395
17:22:02:475,1.2606,0.3106,0.3850,1.354
17:22:02:480,1.2185,0.2666,0.4420,1.323
17:22:02:485,1.1885,0.2295,0.4955,1.308
17:22:02:490,1.1648,0.2070,0.5363,1.299
17:22:02:495,1.1362,0.1923,0.5564,1.280
17:22:02:502,1.1169,0.1764,0.5588,1.261
17:22:02:505,1.0944,0.1547,0.5527,1.236
17:22:02:511,1.0819,0.1319,0.5525,1.222
17:22:02:516,1.0973,0.1102,0.5280,1.223
17:22:02:520,1.1274,0.0899,0.4933,1.234
17:22:02:525,1.1552,0.0703,0.4723,1.250
17:22:02:530,1.1704,0.0466,0.4774,1.265
17:22:02:537,1.1965,0.0383,0.4921,1.294
17:22:02:542,1.2041,0.0180,0.4845,1.298
