time,gFx,gFy,gFz,TgF
16:10:11:417,0.9915,0.0779,0.1589,1.007
16:10:11:418,0.9802,0.0914,0.1259,0.992
16:10:11:418,0.9775,0.1031,0.0976,0.988
16:10:11:422,0.9792,0.1063,0.0739,0.988
16:10:11:426,0.9819,0.1063,0.0695,0.990
16:10:11:431,0.9854,0.1068,0.0846,0.995
16:10:11:437,0.9854,0.1058,0.1044,0.997
16:10:11:441,0.9814,0.1046,0.1210,0.994
16:10:11:446,0.9775,0.1058,0.1325,0.992
16:10:11:455,0.9739,0.1072,0.1308,0.988
16:10:11:456,0.9719,0.1048,0.1200,0.985
16:10:11:461,0.9702,0.1024,0.1152,0.982
16:10:11:466,0.9692,0.1006,0.1220,0.982
16:10:11:474,0.9690,0.0980,0.1306,0.983
16:10:11:476,0.9697,0.0943,0.1274,0.983
16:10:11:481,0.9722,0.0926,0.1159,0.983
16:10:11:486,0.9753,0.0918,0.1076,0.986
16:10:11:492,0.9768,0.0906,0.1027,0.986
16:10:11:496,0.9770,0.0906,0.1000,0.986
16:10:11:502,0.9763,0.0899,0.1000,0.986
16:10:11:506,0.9751,0.0901,0.1046,0.985
16:10:11:512,0.9744,0.0911,0.1132,0.985
16:10:11:516,0.9729,0.0933,0.1198,0.985
16:10:11:522,0.9719,0.0940,0.1218,0.984
16:10:11:528,0.9702,0.0955,0.1215,0.982
16:10:11:532,0.9687,0.0987,0.1191,0.981
16:10:11:539,0.9680,0.1004,0.1152,0.980
16:10:11:542,0.9675,0.1004,0.1191,0.980
16:10:11:547,0.9660,0.1014,0.1276,0.980
16:10:11:553,0.9651,0.1043,0.1308,0.979
16:10:11:557,0.9629,0.1060,0.1259,0.977
16:10:11:562,0.9631,0.1028,0.1215,0.976
16:10:11:566,0.9673,0.0967,0.1242,0.980
16:10:11:572,0.9712,0.0933,0.1301,0.984
16:10:11:577,0.9722,0.0936,0.1328,0.986
16:10:11:582,0.9707,0.0921,0.1310,0.984
16:10:11:587,0.9670,0.0896,0.1257,0.979
16:10:11:593,0.9658,0.0872,0.1174,0.977
16:10:11:597,0.9653,0.0852,0.1039,0.975
16:10:11:603,0.9607,0.0835,0.0934,0.969
16:10:11:608,0.9582,0.0816,0.0951,0.966
16:10:11:613,0.9612,0.0786,0.0998,0.970
16:10:11:617,0.9626,0.0760,0.0990,0.971
16:10:11:622,0.9651,0.0740,0.0963,0.973
16:10:11:627,0.9670,0.0730,0.0944,0.974
16:10:11:633,0.9700,0.0718,0.0936,0.977
16:10:11:640,0.9746,0.0674,0.0941,0.981
16:10:11:645,0.9805,0.0632,0.0978,0.987
16:10:11:647,0.9817,0.0625,0.0988,0.989
16:10:11:657,0.9810,0.0650,0.0985,0.988
16:10:11:657,0.9805,0.0647,0.0968,0.987
16:10:11:662,0.9824,0.0608,0.0853,0.988
16:10:11:668,0.9854,0.0566,0.0702,0.989
16:10:11:674,0.9832,0.0549,0.0597,0.986
16:10:11:678,0.9797,0.0549,0.0587,0.983
16:10:11:683,0.9780,0.0544,0.0636,0.982
16:10:11:688,0.9744,0.0535,0.0646,0.978
16:10:11:693,0.9697,0.0530,0.0697,0.974
16:10:11:698,0.9675,0.0547,0.0790,0.972
16:10:11:703,0.9675,0.0574,0.0824,0.973
16:10:11:708,0.9680,0.0576,0.0822,0.973
16:10:11:713,0.9682,0.0581,0.0839,0.974
16:10:11:717,0.9682,0.0593,0.0866,0.974
16:10:11:723,0.9714,0.0606,0.0919,0.978
16:10:11:728,0.9766,0.0618,0.0983,0.983
16:10:11:733,0.9829,0.0615,0.0998,0.990
16:10:11:738,0.9868,0.0606,0.0968,0.993
16:10:11:743,0.9880,0.0613,0.0941,0.994
16:10:11:748,0.9851,0.0645,0.0922,0.992
16:10:11:753,0.9807,0.0686,0.0897,0.987
16:10:11:758,0.9778,0.0698,0.0883,0.984
16:10:11:763,0.9726,0.0696,0.0910,0.979
16:10:11:767,0.9653,0.0716,0.0956,0.973
16:10:11:775,0.9592,0.0742,0.1000,0.967
16:10:11:782,0.9524,0.0784,0.1039,0.961
16:10:11:783,0.9426,0.0826,0.1076,0.952
16:10:11:788,0.9372,0.0865,0.1105,0.948
16:10:11:793,0.9350,0.0882,0.1152,0.946
16:10:11:798,0.9377,0.0870,0.1200,0.949
16:10:11:803,0.9440,0.0838,0.1254,0.956
16:10:11:808,0.9499,0.0813,0.1340,0.963
16:10:11:814,0.9531,0.0816,0.1440,0.967
16:10:11:819,0.9607,0.0840,0.1469,0.975
16:10:11:823,0.9692,0.0865,0.1425,0.983
16:10:11:828,0.9722,0.0879,0.1438,0.987
16:10:11:834,0.9712,0.0904,0.1574,0.988
16:10:11:846,0.9678,0.0970,0.1724,0.988
16:10:11:847,0.9641,0.1075,0.1829,0.987
16:10:11:848,0.9643,0.1200,0.1868,0.990
16:10:11:854,0.9702,0.1292,0.1846,0.996
16:10:11:859,0.9768,0.1346,0.1782,1.002
16:10:11:863,0.9790,0.1356,0.1770,1.004
16:10:11:869,0.9832,0.1378,0.1809,1.009
16:10:11:874,0.9839,0.1437,0.1831,1.011
16:10:11:879,0.9783,0.1522,0.1851,1.007
16:10:11:883,0.9687,0.1630,0.2019,1.003
16:10:11:889,0.9653,0.1710,0.2403,1.009
16:10:11:894,0.9624,0.1730,0.2872,1.019
16:10:11:898,0.9555,0.1742,0.3374,1.028
16:10:11:906,0.9509,0.1764,0.3823,1.040
16:10:11:909,0.9546,0.1791,0.4102,1.054
16:10:11:915,0.9614,0.1798,0.4161,1.063
16:10:11:919,0.9722,0.1784,0.4075,1.069
16:10:11:925,0.9810,0.1784,0.3958,1.073
16:10:11:928,0.9819,0.1774,0.3838,1.069
16:10:11:934,0.9817,0.1740,0.3706,1.064
16:10:11:939,0.9849,0.1713,0.3545,1.061
16:10:11:944,0.9832,0.1703,0.3386,1.054
16:10:11:948,0.9702,0.1684,0.3278,1.038
16:10:11:954,0.9612,0.1647,0.3276,1.029
16:10:11:959,0.9663,0.1578,0.3268,1.032
16:10:11:963,0.9736,0.1510,0.3229,1.037
16:10:11:969,0.9736,0.1456,0.3242,1.036
16:10:11:975,0.9680,0.1415,0.3369,1.035
16:10:11:979,0.9687,0.1376,0.3491,1.039
16:10:11:984,0.9753,0.1344,0.3432,1.043
16:10:11:989,0.9841,0.1329,0.3212,1.044
16:10:11:995,0.9944,0.1378,0.2885,1.045
16:10:11:999,0.9993,0.1429,0.2569,1.042
16:10:12:004,1.0008,0.1422,0.2352,1.038
16:10:12:011,1.0027,0.1393,0.2237,1.037
16:10:12:014,1.0000,0.1390,0.2222,1.034
16:10:12:019,0.9856,0.1424,0.2293,1.022
16:10:12:026,0.9651,0.1461,0.2423,1.006
16:10:12:029,0.9445,0.1473,0.2577,0.990
16:10:12:035,0.9247,0.1488,0.2750,0.976
