time,gFx,gFy,gFz,TgF
17:32:29:323,1.0438,0.0258,0.2799,1.081
17:32:29:327,1.0448,0.0200,0.2929,1.085
17:32:29:333,1.0457,0.0139,0.3141,1.092
17:32:29:337,1.0548,0.0073,0.3298,1.105
17:32:29:342,1.0712,0.0036,0.3308,1.121
17:32:29:355,1.0949,0.0068,0.3100,1.138
17:32:29:356,1.1103,0.0166,0.2809,1.145
17:32:29:358,1.1174,0.0210,0.2726,1.150
17:32:29:363,1.1230,0.0188,0.2728,1.156
17:32:29:367,1.1303,0.0178,0.2665,1.161
17:32:29:373,1.1376,0.0185,0.2525,1.165
17:32:29:377,1.1435,0.0195,0.2342,1.167
17:32:29:384,1.1486,0.0205,0.2225,1.170
17:32:29:387,1.1433,0.0241,0.2308,1.167
17:32:29:393,1.1286,0.0300,0.2562,1.158
17:32:29:398,1.1127,0.0337,0.2843,1.149
17:32:29:403,1.1056,0.0371,0.3127,1.150
17:32:29:407,1.1032,0.0400,0.3413,1.155
17:32:29:413,1.1027,0.0390,0.3540,1.159
17:32:29:418,1.1059,0.0359,0.3440,1.159
17:32:29:422,1.1210,0.0386,0.3117,1.164
17:32:29:427,1.1208,0.0439,0.2689,1.153
17:32:29:433,1.0885,0.0520,0.2293,1.114
17:32:29:438,1.0313,0.0735,0.2178,1.057
17:32:29:442,0.9766,0.0948,0.2315,1.008
17:32:29:455,0.9753,0.0889,0.2432,1.009
17:32:29:456,0.9839,0.0642,0.2381,1.014
17:32:29:459,0.9790,0.0530,0.2264,1.006
17:32:29:464,1.0069,0.0657,0.2249,1.034
17:32:29:468,1.0147,0.0857,0.2071,1.039
17:32:29:477,1.0015,0.0953,0.1802,1.022
17:32:29:486,1.0225,0.1026,0.1506,1.039
17:32:29:487,1.0565,0.1109,0.1090,1.068
17:32:29:488,1.0839,0.1226,0.0638,1.093
17:32:29:494,1.0976,0.1451,0.0323,1.108
17:32:29:498,1.1034,0.1794,0.0081,1.118
17:32:29:504,1.1088,0.2114,-0.0110,1.129
17:32:29:509,1.1095,0.2466,-0.0220,1.137
17:32:29:515,1.0956,0.2862,-0.0423,1.133
17:32:29:518,1.0599,0.3358,-0.0667,1.114
17:32:29:524,1.0174,0.3732,-0.0728,1.086
17:32:29:528,0.9834,0.3754,-0.0877,1.056
17:32:29:534,0.9572,0.3617,-0.1234,1.031
17:32:29:538,0.9533,0.3688,-0.1510,1.033
17:32:29:543,0.9497,0.3732,-0.1574,1.032
17:32:29:555,0.9379,0.3561,-0.1554,1.015
17:32:29:557,0.9257,0.3280,-0.1452,0.993
17:32:29:558,0.9096,0.2874,-0.1359,0.964
17:32:29:563,0.8575,0.2219,-0.1329,0.896
17:32:29:569,0.8050,0.1581,-0.1175,0.829
17:32:29:575,0.7837,0.1131,-0.1061,0.799
17:32:29:580,0.7898,0.0730,-0.1090,0.801
17:32:29:584,0.8079,0.0327,-0.1156,0.817
17:32:29:588,0.8292,-0.0013,-0.1283,0.839
17:32:29:595,0.8494,-0.0257,-0.1535,0.864
17:32:29:599,0.8666,-0.0409,-0.1782,0.886
17:32:29:603,0.8776,-0.0489,-0.1938,0.900
17:32:29:609,0.8947,-0.0580,-0.1992,0.918
17:32:29:615,0.9225,-0.0685,-0.1933,0.945
17:32:29:621,0.9685,-0.0702,-0.1782,0.987
17:32:29:624,1.0193,-0.0585,-0.1439,1.031
17:32:29:630,1.0604,-0.0406,-0.1136,1.067
17:32:29:637,1.0824,-0.0203,-0.0933,1.087
17:32:29:638,1.0976,0.0012,-0.0757,1.100
17:32:29:644,1.1061,0.0246,-0.0662,1.108
17:32:29:650,1.1056,0.0420,-0.0555,1.108
17:32:29:656,1.0973,0.0557,-0.0386,1.099
17:32:29:659,1.0932,0.0667,-0.0183,1.095
17:32:29:664,1.0892,0.0752,0.0098,1.092
17:32:29:668,1.0729,0.0835,0.0462,1.077
17:32:29:675,1.0467,0.0906,0.0839,1.054
17:32:29:679,1.0176,0.0960,0.1188,1.029
17:32:29:684,0.9946,0.0936,0.1391,1.009
17:32:29:689,0.9748,0.0848,0.1462,0.989
17:32:29:695,0.9553,0.0708,0.1389,0.968
17:32:29:699,0.9418,0.0542,0.1139,0.950
17:32:29:704,0.9299,0.0381,0.0829,0.934
17:32:29:709,0.9152,0.0249,0.0585,0.917
17:32:29:716,0.8959,0.0173,0.0472,0.897
17:32:29:719,0.8812,0.0097,0.0448,0.882
17:32:29:725,0.8756,0.0036,0.0462,0.877
17:32:29:730,0.8631,0.0087,0.0450,0.864
17:32:29:735,0.8426,0.0139,0.0360,0.843
17:32:29:740,0.8111,0.0192,0.0255,0.812
17:32:29:745,0.7822,0.0285,0.0123,0.783
17:32:29:750,0.7595,0.0368,0.0000,0.760
17:32:29:756,0.7487,0.0400,-0.0068,0.750
17:32:29:759,0.7470,0.0488,0.0037,0.749
17:32:29:768,0.7546,0.0471,0.0281,0.757
17:32:29:769,0.7725,0.0344,0.0638,0.776
17:32:29:776,0.7988,0.0207,0.1002,0.805
17:32:29:781,0.8318,0.0073,0.1215,0.841
17:32:29:784,0.8578,0.0009,0.1230,0.867
17:32:29:790,0.8692,0.0038,0.1276,0.879
17:32:29:796,0.8680,0.0070,0.1335,0.878
17:32:29:799,0.8548,0.0122,0.1323,0.865
17:32:29:805,0.8358,0.0180,0.1191,0.844
17:32:29:810,0.8228,0.0178,0.1090,0.830
17:32:29:817,0.8213,0.0100,0.1012,0.828
17:32:29:819,0.8238,0.0036,0.0890,0.829
17:32:29:824,0.8262,-0.0025,0.0768,0.830
17:32:29:830,0.8294,-0.0142,0.0719,0.833
17:32:29:835,0.8314,-0.0284,0.0763,0.835
17:32:29:840,0.8314,-0.0362,0.0829,0.836
17:32:29:845,0.8301,-0.0318,0.0900,0.836
17:32:29:850,0.8314,-0.0296,0.0875,0.836
17:32:29:855,0.8409,-0.0311,0.0863,0.846
17:32:29:859,0.8585,-0.0345,0.0910,0.864
17:32:29:866,0.8776,-0.0409,0.1000,0.884
17:32:29:871,0.8949,-0.0441,0.0988,0.901
17:32:29:876,0.9172,-0.0431,0.0976,0.923
17:32:29:880,0.9382,-0.0419,0.0985,0.944
17:32:29:885,0.9533,-0.0397,0.1071,0.960
17:32:29:890,0.9638,-0.0377,0.1203,0.972
17:32:29:897,0.9704,-0.0311,0.1318,0.980
17:32:29:901,0.9748,-0.0233,0.1425,0.985
17:32:29:905,0.9763,-0.0172,0.1533,0.988
17:32:29:911,0.9697,-0.0108,0.1592,0.983
17:32:29:916,0.9582,-0.0037,0.1670,0.973
17:32:29:919,0.9489,0.0029,0.1794,0.966
17:32:29:925,0.9458,0.0070,0.1944,0.966
17:32:29:930,0.9443,0.0100,0.2044,0.966
17:32:29:936,0.9526,0.0070,0.2093,0.975
17:32:29:940,0.9707,0.0029,0.2105,0.993
17:32:29:945,0.9961,0.0043,0.2102,1.018
17:32:29:950,1.0203,0.0122,0.1990,1.040
17:32:29:955,1.0411,0.0229,0.1816,1.057
17:32:29:961,1.0602,0.0315,0.1648,1.073
17:32:29:967,1.0726,0.0359,0.1548,1.084
17:32:29:973,1.0780,0.0293,0.1516,1.089
17:32:29:982,1.0858,0.0246,0.1582,1.098
17:32:29:983,1.1007,0.0412,0.1675,1.114
17:32:29:986,1.1330,0.0689,0.1807,1.149
17:32:29:990,1.1662,0.0796,0.1966,1.185
17:32:29:996,1.1684,0.0698,0.2137,1.190
17:32:30:000,1.1684,0.0613,0.2320,1.193
17:32:30:006,1.1596,0.0525,0.2430,1.186
17:32:30:011,1.1486,0.0403,0.2545,1.177
17:32:30:017,1.1381,0.0324,0.2645,1.169
17:32:30:020,1.1413,0.0234,0.2718,1.173
17:32:30:025,1.1521,0.0114,0.2770,1.185
17:32:30:030,1.1667,-0.0005,0.2753,1.199
17:32:30:036,1.1880,-0.0069,0.2826,1.221
17:32:30:041,1.2075,0.0009,0.2846,1.241
17:32:30:047,1.2459,0.0207,0.2850,1.278
17:32:30:050,1.2965,0.0461,0.2941,1.330
